"sample","stage","tissue","NF","caste","VM","colony","species"
"Ant_AQG.1","8","gaster",NA,"queen","mated","1","ant"
"Ant_AQG.2","8","gaster",NA,"queen","mated","2","ant"
"Ant_AQG.3","8","gaster",NA,"queen","mated","3","ant"
"Ant_AQH.1","8","head",NA,"queen","mated","1","ant"
"Ant_AQH.2","8","head",NA,"queen","mated","2","ant"
"Ant_AQH.3","8","head",NA,"queen","mated","3","ant"
"Ant_AQM.1","8","mesosoma",NA,"queen","mated","1","ant"
"Ant_AQM.2","8","mesosoma",NA,"queen","mated","2","ant"
"Ant_AQM.3","8","mesosoma",NA,"queen","mated","3","ant"
"Ant_E.1","1","egg",NA,"worker",NA,"1","ant"
"Ant_E.2","1","egg",NA,"worker",NA,"2","ant"
"Ant_E.3","1","egg",NA,"worker",NA,"3","ant"
"Ant_E.4","1","egg",NA,"worker",NA,"1","ant"
"Ant_E.5","1","egg",NA,"worker",NA,"1","ant"
"Ant_E.6","1","egg",NA,"worker",NA,"1","ant"
"Ant_FG.1","8","gaster","forager","worker",NA,"1","ant"
"Ant_FG.2","8","gaster","forager","worker",NA,"2","ant"
"Ant_FG.3","8","gaster","forager","worker",NA,"3","ant"
"Ant_FH.1","8","head","forager","worker",NA,"1","ant"
"Ant_FH.2","8","head","forager","worker",NA,"2","ant"
"Ant_FH.3","8","head","forager","worker",NA,"3","ant"
"Ant_FM.1","8","mesosoma","forager","worker",NA,"1","ant"
"Ant_FM.2","8","mesosoma","forager","worker",NA,"2","ant"
"Ant_FM.3","8","mesosoma","forager","worker",NA,"3","ant"
"Ant_GP.1","7","pupa",NA,"queen",NA,"1","ant"
"Ant_GP.2","7","pupa",NA,"queen",NA,"2","ant"
"Ant_GP.3","7","pupa",NA,"queen",NA,"3","ant"
"Ant_L1.1","2","larva",NA,"worker",NA,"1","ant"
"Ant_L1.2","2","larva",NA,"worker",NA,"2","ant"
"Ant_L1.3","2","larva",NA,"worker",NA,"3","ant"
"Ant_L1.4","2","larva",NA,"worker",NA,"1","ant"
"Ant_L1.5","2","larva",NA,"worker",NA,"1","ant"
"Ant_L1.6","2","larva",NA,"worker",NA,"1","ant"
"Ant_MG.1","8","gaster",NA,"male",NA,"1","ant"
"Ant_MG.2","8","gaster",NA,"male",NA,"2","ant"
"Ant_MG.3","8","gaster",NA,"male",NA,"3","ant"
"Ant_MH.1","8","head",NA,"male",NA,"1","ant"
"Ant_MH.2","8","head",NA,"male",NA,"2","ant"
"Ant_MH.3","8","head",NA,"male",NA,"3","ant"
"Ant_MM.1","8","mesosoma",NA,"male",NA,"1","ant"
"Ant_MM.2","8","mesosoma",NA,"male",NA,"2","ant"
"Ant_MM.3","8","mesosoma",NA,"male",NA,"3","ant"
"Ant_MP.1","7","pupa",NA,"male",NA,"1","ant"
"Ant_MP.2","7","pupa",NA,"male",NA,"2","ant"
"Ant_MP.3","7","pupa",NA,"male",NA,"3","ant"
"Ant_NG.1","8","gaster","nurse","worker",NA,"1","ant"
"Ant_NG.2","8","gaster","nurse","worker",NA,"2","ant"
"Ant_NG.3","8","gaster","nurse","worker",NA,"3","ant"
"Ant_NH.1","8","head","nurse","worker",NA,"1","ant"
"Ant_NH.2","8","head","nurse","worker",NA,"2","ant"
"Ant_NH.3","8","head","nurse","worker",NA,"3","ant"
"Ant_NM.1","8","mesosoma","nurse","worker",NA,"1","ant"
"Ant_NM.2","8","mesosoma","nurse","worker",NA,"2","ant"
"Ant_NM.3","8","mesosoma","nurse","worker",NA,"3","ant"
"Ant_SL2.1","3","larva",NA,"queen",NA,"2","ant"
"Ant_SL2.2","3","larva",NA,"queen",NA,"2","ant"
"Ant_SL2.3","3","larva",NA,"queen",NA,"3","ant"
"Ant_SL3.1","4","larva",NA,"queen",NA,"3","ant"
"Ant_SL3.2","4","larva",NA,"queen",NA,"3","ant"
"Ant_SL3.3","4","larva",NA,"queen",NA,"3","ant"
"Ant_SL4.1","5","larva",NA,"queen",NA,"1","ant"
"Ant_SL4.2","5","larva",NA,"queen",NA,"2","ant"
"Ant_SL4.3","5","larva",NA,"queen",NA,"3","ant"
"Ant_SL5.1","6","larva",NA,"queen",NA,"1","ant"
"Ant_SL5.2","6","larva",NA,"queen",NA,"2","ant"
"Ant_SL5.3","6","larva",NA,"queen",NA,"3","ant"
