"","head.bee","gaster.bee","mesosoma.bee","head.ant","gaster.ant","mesosoma.ant","head.overlap","gaster.overlap","mesosoma.overlap"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",5,497,1,0,0,0,0,0,0
"3",0,0,0,0,74,1,0,0,0
"4",6,532,102,1,1,0,0,0,0
"5",0,0,0,16,0,0,0,0,0
"6",31,404,8,1,0,97,0,0,0
"7",55,2,0,0,0,0,0,0,0
"8",84,0,0,7,2,0,0,0,0
"9",0,0,0,79,0,24,0,0,0
"10",18,2,0,17,0,43,1,0,0
"11",18,334,1,0,8,1,0,0,0
"12",4,4,0,0,0,50,0,0,0
"13",0,358,0,0,2,0,0,0,0
"14",2,0,0,2,3,60,0,0,0
"15",0,265,0,0,224,49,0,14,0
"16",0,229,6,58,273,65,0,33,0
"17",12,0,0,0,3,46,0,0,0
"18",0,0,0,0,0,2,0,0,0
"19",4,24,0,0,0,2,0,0,0
"20",44,7,15,1,2,0,0,0,0
"21",0,0,121,26,0,0,0,0,0
"22",2,9,0,34,0,263,0,0,0
"23",0,0,0,3,442,49,0,0,0
"24",16,0,0,0,0,0,0,0,0
"25",10,1,6,33,0,0,0,0,0
"26",0,0,0,10,0,0,0,0,0
"27",10,0,0,0,45,43,0,0,0
"28",0,14,0,3,1,0,0,0,0
"29",1,2,0,13,4,49,0,0,0
"30",8,4,0,0,1,0,0,0,0
"31",0,0,0,1,0,0,0,0,0
"32",6,0,2,0,0,30,0,0,0
"33",0,13,0,0,0,0,0,0,0
"34",35,0,64,0,0,0,0,0,0
"35",13,1,18,5,0,39,0,0,0
"36",0,4,1,1,0,0,0,0,0
"37",47,688,0,7,244,252,0,39,0
"38",0,0,0,0,0,56,0,0,0
"39",47,1,0,114,32,48,4,0,0
"40",10,451,0,1,0,0,1,0,0
"41",0,0,0,29,0,21,0,0,0
"42",14,0,0,2,55,0,0,0,0
"43",0,688,4,9,0,0,0,0,0
"44",0,14,0,0,3,0,0,0,0
"45",0,0,8,0,6,0,0,0,0
"46",35,702,0,58,0,67,1,0,0
"47",0,8,49,0,0,0,0,0,0
"48",1,0,0,0,43,0,0,0,0
"49",16,8,28,13,0,0,0,0,0
"50",0,5,0,0,0,0,0,0,0
"51",13,347,1,0,2,0,0,0,0
