"","head.bee","gaster.bee","mesosoma.bee","head.ant","gaster.ant","mesosoma.ant","head.overlap","gaster.overlap","mesosoma.overlap"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",0,0,0,0,0,1,0,0,0
"3",0,0,871,143,1,1,0,0,0
"4",0,0,871,0,19,0,0,0,0
"5",1,0,0,2,0,168,0,0,0
"6",0,0,871,0,1,0,0,0,0
"7",347,699,871,2,2,0,0,2,0
"8",2,0,0,0,206,0,0,0,0
"9",0,0,0,8,2,168,0,0,0
"10",0,0,0,0,2,0,0,0,0
"11",0,0,871,0,0,0,0,0,0
"12",347,0,0,0,206,1,0,0,0
"13",1,4,0,8,0,168,0,0,0
"14",1,699,3,0,206,1,0,29,0
"15",1,0,0,8,6,0,0,0,0
"16",0,699,0,8,19,168,0,2,0
"17",0,4,0,2,0,102,0,0,0
"18",0,0,871,2,6,0,0,0,0
"19",0,0,871,8,6,0,0,0,0
"20",347,0,0,0,0,102,0,0,0
"21",0,0,0,0,0,102,0,0,0
"22",0,4,0,2,0,0,0,0,0
"23",38,0,0,8,206,0,0,0,0
"24",2,699,3,143,2,0,0,2,0
"25",38,0,3,0,206,0,0,0,0
"26",0,4,3,0,2,168,0,0,0
"27",2,4,871,7,0,0,0,0,0
"28",38,0,0,2,2,0,0,0,0
"29",347,0,0,0,19,0,0,0,0
"30",0,4,3,2,0,0,0,0,0
"31",38,0,871,0,19,168,0,0,7
"32",0,0,3,0,0,0,0,0,0
"33",1,4,871,0,206,102,0,0,6
"34",2,4,0,7,0,168,0,0,0
"35",347,0,0,0,1,1,0,0,0
"36",38,699,871,7,206,102,0,29,6
"37",38,0,3,140,2,1,1,0,0
"38",1,4,0,0,1,0,0,0,0
"39",0,0,0,0,19,0,0,0,0
"40",2,0,0,2,0,0,0,0,0
"41",0,699,0,8,6,0,0,0,0
"42",2,0,0,0,19,102,0,0,0
"43",2,699,3,0,1,0,0,0,0
"44",1,0,0,0,6,0,0,0,0
"45",0,699,0,7,1,0,0,0,0
"46",0,0,0,0,0,0,0,0,0
"47",38,4,0,8,0,168,0,0,0
"48",38,4,0,7,6,0,0,0,0
"49",1,0,871,140,2,0,0,0,0
"50",38,0,0,0,0,0,0,0,0
"51",2,0,0,140,2,1,0,0,0
"52",0,0,0,2,2,0,0,0,0
"53",38,4,0,2,0,102,0,0,0
"54",347,0,0,8,1,0,1,0,0
"55",0,0,3,140,6,102,0,0,0
"56",0,4,0,140,6,0,0,0,0
"57",38,0,0,140,2,1,1,0,0
"58",38,0,0,2,6,0,0,0,0
"59",0,0,3,0,1,102,0,0,0
"60",38,0,3,7,1,0,0,0,0
"61",38,0,0,7,0,1,0,0,0
"62",38,0,3,8,0,168,0,0,0
"63",0,0,0,0,2,0,0,0,0
"64",0,699,0,2,2,102,0,2,0
"65",38,0,3,8,0,1,0,0,0
"66",38,699,0,0,6,102,0,0,0
"67",347,0,0,2,2,102,0,0,0
"68",0,0,3,143,2,102,0,0,0
"69",347,0,0,0,6,0,0,0,0
"70",347,0,0,0,6,0,0,0,0
"71",2,4,0,0,206,168,0,0,0
"72",0,0,0,0,2,0,0,0,0
"73",2,4,0,0,19,0,0,0,0
"74",2,0,3,0,1,1,0,0,0
"75",1,0,0,0,206,1,0,0,0
"76",2,0,0,8,1,0,0,0,0
"77",0,4,0,7,2,0,0,0,0
"78",0,4,3,0,19,0,0,0,0
"79",0,4,0,8,2,168,0,0,0
"80",0,4,3,0,19,0,0,0,0
"81",0,0,0,8,1,102,0,0,0
"82",2,0,0,0,6,0,0,0,0
"83",38,4,0,0,2,102,0,0,0
"84",38,0,0,8,19,102,0,0,0
"85",0,0,0,0,1,102,0,0,0
"86",0,0,3,0,19,102,0,0,0
"87",38,0,3,2,0,102,0,0,0
"88",1,0,0,7,1,168,0,0,0
"89",38,0,0,2,6,0,0,0,0
"90",38,0,0,0,206,168,0,0,0
"91",1,0,0,0,19,1,0,0,0
"92",2,0,3,2,1,102,0,0,0
"93",2,0,0,7,2,0,0,0,0
"94",0,0,0,143,1,0,0,0,0
"95",2,4,3,8,1,1,0,0,0
"96",2,0,871,8,2,0,0,0,0
"97",38,0,0,7,2,0,0,0,0
"98",2,0,3,7,19,0,0,0,0
"99",38,4,0,0,2,0,0,0,0
"100",38,0,3,7,1,0,0,0,0
"101",0,699,0,143,1,0,0,0,0
"102",0,699,0,7,206,0,0,29,0
"103",2,0,0,0,2,0,0,0,0
"104",0,0,0,2,1,0,0,0,0
"105",1,0,0,0,1,102,0,0,0
"106",347,0,0,140,2,102,17,0,0
"107",0,4,3,143,0,102,0,0,0
"108",38,0,0,0,19,168,0,0,0
"109",347,4,0,8,0,102,1,0,0
"110",38,699,871,2,206,0,0,29,0
"111",2,0,0,0,19,0,0,0,0
"112",2,699,0,0,0,102,0,0,0
"113",38,0,0,8,6,0,0,0,0
"114",38,0,0,2,2,0,0,0,0
"115",0,0,3,8,6,0,0,0,0
"116",0,0,3,8,0,102,0,0,0
"117",0,0,0,0,1,0,0,0,0
"118",2,4,0,2,6,0,0,0,0
"119",38,0,871,8,19,102,0,0,6
"120",2,0,3,8,19,0,0,0,0
"121",2,0,871,8,1,0,0,0,0
"122",2,0,0,7,1,0,0,0,0
"123",0,4,0,7,206,1,0,0,0
"124",0,0,0,0,0,0,0,0,0
"125",0,4,0,2,19,1,0,0,0
"126",0,699,0,7,0,1,0,0,0
"127",0,4,0,8,19,1,0,0,0
"128",2,0,0,143,19,0,0,0,0
"129",0,0,3,2,1,0,0,0,0
"130",0,0,0,2,0,0,0,0,0
"131",2,699,0,0,1,0,0,0,0
"132",347,0,3,0,0,102,0,0,0
"133",2,0,871,2,2,168,0,0,7
"134",0,699,0,0,6,168,0,0,0
"135",2,4,3,0,2,102,0,0,0
"136",0,0,871,7,1,0,0,0,0
"137",0,0,3,8,19,0,0,0,0
"138",0,0,0,0,206,102,0,0,0
"139",0,0,0,143,0,0,0,0,0
"140",38,0,871,0,0,168,0,0,7
"141",38,4,0,0,206,0,0,0,0
"142",0,0,0,8,2,168,0,0,0
"143",1,0,0,8,1,1,0,0,0
"144",1,4,0,140,19,102,0,0,0
"145",1,4,3,0,0,102,0,0,0
"146",0,0,0,2,1,0,0,0,0
"147",1,0,3,7,6,1,0,0,0
"148",2,0,871,8,0,102,0,0,6
"149",0,0,0,0,19,0,0,0,0
"150",0,699,0,8,19,1,0,2,0
"151",347,4,3,0,206,0,0,0,0
"152",0,4,871,7,19,0,0,0,0
"153",38,699,0,0,1,0,0,0,0
"154",2,0,0,8,0,1,0,0,0
"155",2,699,0,0,1,102,0,0,0
"156",2,4,0,8,19,1,0,0,0
"157",0,0,0,140,19,0,0,0,0
"158",0,0,0,7,19,0,0,0,0
"159",2,4,0,8,6,168,0,0,0
"160",38,0,0,0,6,0,0,0,0
"161",2,0,0,0,0,0,0,0,0
"162",2,0,0,8,19,0,0,0,0
"163",0,4,0,0,2,0,0,0,0
"164",0,0,3,7,1,0,0,0,0
"165",0,4,0,143,6,0,0,0,0
"166",0,0,3,8,19,0,0,0,0
"167",0,4,871,7,19,0,0,0,0
"168",0,699,0,0,19,168,0,2,0
"169",0,0,3,7,1,1,0,0,0
"170",2,0,0,8,0,102,0,0,0
"171",2,699,0,0,1,168,0,0,0
"172",0,0,871,0,2,0,0,0,0
"173",2,699,0,8,0,102,0,0,0
"174",1,0,3,143,2,0,0,0,0
"175",0,0,0,0,2,0,0,0,0
"176",347,4,0,0,206,102,0,0,0
"177",2,4,0,0,0,1,0,0,0
"178",1,4,0,8,206,0,0,0,0
"179",0,0,0,7,2,0,0,0,0
"180",0,699,3,0,19,102,0,2,0
"181",0,0,871,0,19,168,0,0,7
"182",0,0,3,8,2,102,0,0,0
"183",2,699,0,0,6,102,0,0,0
"184",0,0,0,7,1,0,0,0,0
"185",0,0,0,2,2,0,0,0,0
"186",2,4,3,8,2,102,0,0,0
"187",347,0,3,7,1,0,0,0,0
"188",38,0,0,8,19,0,0,0,0
"189",0,0,0,8,1,0,0,0,0
"190",2,0,0,7,19,102,0,0,0
"191",0,4,3,2,0,0,0,0,0
"192",0,0,871,0,19,0,0,0,0
"193",38,0,0,0,6,0,0,0,0
"194",0,0,0,0,2,1,0,0,0
"195",0,0,0,2,19,0,0,0,0
"196",0,0,0,0,6,0,0,0,0
"197",1,699,0,0,0,1,0,0,0
"198",2,0,0,140,0,0,0,0,0
"199",1,0,0,8,0,0,0,0,0
"200",38,0,0,0,0,0,0,0,0
"201",0,0,0,7,206,0,0,0,0
"202",347,4,871,0,0,102,0,0,6
"203",0,4,0,8,0,0,0,0,0
"204",2,0,0,8,19,0,0,0,0
"205",0,4,0,7,1,0,0,0,0
"206",38,0,0,7,0,0,0,0,0
"207",0,4,3,8,2,0,0,0,0
"208",2,0,0,140,1,0,0,0,0
"209",0,0,3,0,19,0,0,0,0
"210",0,699,0,2,2,102,0,2,0
"211",0,699,0,0,0,0,0,0,0
