"","sample","stage","tissue","NF","caste","VM"
"1","Ant_AQG.1","8","gaster",NA,"queen","mated"
"2","Ant_AQG.2","8","gaster",NA,"queen","mated"
"3","Ant_AQG.3","8","gaster",NA,"queen","mated"
"4","Ant_AQH.1","8","head",NA,"queen","mated"
"5","Ant_AQH.2","8","head",NA,"queen","mated"
"6","Ant_AQH.3","8","head",NA,"queen","mated"
"7","Ant_AQM.1","8","mesosoma",NA,"queen","mated"
"8","Ant_AQM.2","8","mesosoma",NA,"queen","mated"
"9","Ant_AQM.3","8","mesosoma",NA,"queen","mated"
"10","Ant_E.1","1","egg",NA,"worker",NA
"11","Ant_E.2","1","egg",NA,"worker",NA
"12","Ant_E.3","1","egg",NA,"worker",NA
"13","Ant_E.4","1","egg",NA,"worker",NA
"14","Ant_E.5","1","egg",NA,"worker",NA
"15","Ant_E.6","1","egg",NA,"worker",NA
"16","Ant_FG.1","8","gaster","forager","worker",NA
"17","Ant_FG.2","8","gaster","forager","worker",NA
"18","Ant_FG.3","8","gaster","forager","worker",NA
"19","Ant_FH.1","8","head","forager","worker",NA
"20","Ant_FH.2","8","head","forager","worker",NA
"21","Ant_FH.3","8","head","forager","worker",NA
"22","Ant_FM.1","8","mesosoma","forager","worker",NA
"23","Ant_FM.2","8","mesosoma","forager","worker",NA
"24","Ant_FM.3","8","mesosoma","forager","worker",NA
"25","Ant_GP.1","7","gaster",NA,"queen",NA
"26","Ant_GP.2","7","gaster",NA,"queen",NA
"27","Ant_GP.3","7","gaster",NA,"queen",NA
"28","Ant_L1.1","2","larva",NA,"worker",NA
"29","Ant_L1.2","2","larva",NA,"worker",NA
"30","Ant_L1.3","2","larva",NA,"worker",NA
"31","Ant_L1.4","2","larva",NA,"worker",NA
"32","Ant_L1.5","2","larva",NA,"worker",NA
"33","Ant_L1.6","2","larva",NA,"worker",NA
"34","Ant_MG.1","8","mesosoma",NA,"male",NA
"35","Ant_MG.2","8","mesosoma",NA,"male",NA
"36","Ant_MG.3","8","mesosoma",NA,"male",NA
"37","Ant_MH.1","8","mesosoma",NA,"male",NA
"38","Ant_MH.2","8","mesosoma",NA,"male",NA
"39","Ant_MH.3","8","mesosoma",NA,"male",NA
"40","Ant_MM.1","8","mesosoma",NA,"male",NA
"41","Ant_MM.2","8","mesosoma",NA,"male",NA
"42","Ant_MM.3","8","mesosoma",NA,"male",NA
"43","Ant_MP.1","7","mesosoma",NA,"male",NA
"44","Ant_MP.2","7","mesosoma",NA,"male",NA
"45","Ant_MP.3","7","mesosoma",NA,"male",NA
"46","Ant_NG.1","8","gaster","nurse","worker",NA
"47","Ant_NG.2","8","gaster","nurse","worker",NA
"48","Ant_NG.3","8","gaster","nurse","worker",NA
"49","Ant_NH.1","8","head","nurse","worker",NA
"50","Ant_NH.2","8","head","nurse","worker",NA
"51","Ant_NH.3","8","head","nurse","worker",NA
"52","Ant_NM.1","8","mesosoma","nurse","worker",NA
"53","Ant_NM.2","8","mesosoma","nurse","worker",NA
"54","Ant_NM.3","8","mesosoma","nurse","worker",NA
"55","Ant_SL2.1","3","larva",NA,"queen",NA
"56","Ant_SL2.2","3","larva",NA,"queen",NA
"57","Ant_SL2.3","3","larva",NA,"queen",NA
"58","Ant_SL3.1","4","larva",NA,"queen",NA
"59","Ant_SL3.2","4","larva",NA,"queen",NA
"60","Ant_SL3.3","4","larva",NA,"queen",NA
"61","Ant_SL4.1","5","larva",NA,"queen",NA
"62","Ant_SL4.2","5","larva",NA,"queen",NA
"63","Ant_SL4.3","5","larva",NA,"queen",NA
"64","Ant_SL5.1","6","larva",NA,"queen",NA
"65","Ant_SL5.2","6","larva",NA,"queen",NA
"66","Ant_SL5.3","6","larva",NA,"queen",NA
"67","Ant_VQG.1","8","gaster",NA,"queen","virgin"
"68","Ant_VQG.2","8","gaster",NA,"queen","virgin"
"69","Ant_VQG.3","8","gaster",NA,"queen","virgin"
"70","Ant_VQH.1","8","head",NA,"queen","virgin"
"71","Ant_VQH.2","8","head",NA,"queen","virgin"
"72","Ant_VQH.3","8","head",NA,"queen","virgin"
"73","Ant_VQM.1","8","mesosoma",NA,"queen","virgin"
"74","Ant_VQM.2","8","mesosoma",NA,"queen","virgin"
"75","Ant_VQM.3","8","mesosoma",NA,"queen","virgin"
"76","Ant_WL2.1","3","larva",NA,"worker",NA
"77","Ant_WL2.2","3","larva",NA,"worker",NA
"78","Ant_WL2.3","3","larva",NA,"worker",NA
"79","Ant_WL3.1","4","larva",NA,"worker",NA
"80","Ant_WL3.2","4","larva",NA,"worker",NA
"81","Ant_WL3.3","4","larva",NA,"worker",NA
"82","Ant_WL4.1","5","larva",NA,"worker",NA
"83","Ant_WL4.2","5","larva",NA,"worker",NA
"84","Ant_WL4.3","5","larva",NA,"worker",NA
"85","Ant_WL5.1","6","larva",NA,"worker",NA
"86","Ant_WL5.2","6","larva",NA,"worker",NA
"87","Ant_WL5.3","6","larva",NA,"worker",NA
"88","Ant_WP.1","7","pupa",NA,"worker",NA
"89","Ant_WP.2","7","pupa",NA,"worker",NA
"90","Ant_WP.3","7","pupa",NA,"worker",NA
