"","Gene","kTotal"
"LOC105827748","LOC105827748",589.083014999745
"LOC105827749","LOC105827749",24.9528197046239
"LOC105827752","LOC105827752",59.286911854755
"LOC105827753","LOC105827753",39.3336231444686
"LOC105827754","LOC105827754",47.4507572427608
"LOC105827755","LOC105827755",44.1450238644628
"LOC105827756","LOC105827756",127.366234550396
"LOC105827757","LOC105827757",22.0998466206287
"LOC105827758","LOC105827758",11.5453533777363
"LOC105827759","LOC105827759",38.4968067430743
"LOC105827760","LOC105827760",7.04140886769423
"LOC105827761","LOC105827761",358.436257125974
"LOC105827762","LOC105827762",337.614461601682
"LOC105827763","LOC105827763",636.034430336721
"LOC105827764","LOC105827764",671.974773442543
"LOC105827765","LOC105827765",460.036332254808
"LOC105827766","LOC105827766",80.8703636649807
"LOC105827767","LOC105827767",154.905321929224
"LOC105827768","LOC105827768",93.1838986008626
"LOC105827769","LOC105827769",284.403128420394
"LOC105827770","LOC105827770",314.076833160988
"LOC105827771","LOC105827771",754.090271822029
"LOC105827772","LOC105827772",94.2686279561169
"LOC105827773","LOC105827773",251.456182885372
"LOC105827774","LOC105827774",41.218403785312
"LOC105827775","LOC105827775",47.1422620559468
"LOC105827776","LOC105827776",527.804583910289
"LOC105827777","LOC105827777",475.651989789447
"LOC105827778","LOC105827778",68.4532353476797
"LOC105827779","LOC105827779",59.7097290164297
"LOC105827780","LOC105827780",72.3419485884722
"LOC105827781","LOC105827781",14.8972278092931
"LOC105827782","LOC105827782",5.33682451960969
"LOC105827783","LOC105827783",133.733924003217
"LOC105827784","LOC105827784",357.15279748656
"LOC105827785","LOC105827785",59.286911854755
"LOC105827786","LOC105827786",12.2145405583232
"LOC105827787","LOC105827787",6.41471796800765
"LOC105827788","LOC105827788",332.202390279139
"LOC105827789","LOC105827789",108.468010606272
"LOC105827790","LOC105827790",125.911062239317
"LOC105827791","LOC105827791",92.0386327387509
"LOC105827792","LOC105827792",140.408115086309
"LOC105827793","LOC105827793",327.151262184442
"LOC105827794","LOC105827794",501.705040425247
"LOC105827795","LOC105827795",84.8074922369752
"LOC105827796","LOC105827796",196.308965384746
"LOC105827797","LOC105827797",269.484791771932
"LOC105827798","LOC105827798",323.930690291019
"LOC105827799","LOC105827799",473.762654459092
"LOC105827800","LOC105827800",379.562299159106
"LOC105827801","LOC105827801",474.759356545107
"LOC105827802","LOC105827802",174.725473367793
"LOC105827803","LOC105827803",9.50782980960881
"LOC105827804","LOC105827804",513.426490947422
"LOC105827805","LOC105827805",44.0918322833221
"LOC105827806","LOC105827806",11.7793058684112
"LOC105827807","LOC105827807",33.6213579435151
"LOC105827808","LOC105827808",29.0829063362979
"LOC105827809","LOC105827809",129.556392696252
"LOC105827810","LOC105827810",9.63072964915394
"LOC105827811","LOC105827811",50.3514483458673
"LOC105827812","LOC105827812",181.879133447116
"LOC105827813","LOC105827813",436.89108003089
"LOC105827814","LOC105827814",1.97051905998773
"LOC105827815","LOC105827815",386.531492995482
"LOC105827816","LOC105827816",11.7748177276627
"LOC105827817","LOC105827817",12.2289185006128
"LOC105827818","LOC105827818",230.361763352816
"LOC105827819","LOC105827819",18.9413240550046
"LOC105827820","LOC105827820",11.827023920019
"LOC105827821","LOC105827821",11.1427788698565
"LOC105827822","LOC105827822",2.63807425305243
"LOC105827823","LOC105827823",7.07579154850148
"LOC105827824","LOC105827824",41.372275326896
"LOC105827825","LOC105827825",36.1084181378446
"LOC105827826","LOC105827826",57.2509322436244
"LOC105827827","LOC105827827",27.8068843187295
"LOC105827828","LOC105827828",39.4079391939443
"LOC105827829","LOC105827829",6.70199557423961
"LOC105827830","LOC105827830",269.465222752458
"LOC105827831","LOC105827831",9.70175476627047
"LOC105827832","LOC105827832",11.5040988039515
"LOC105827833","LOC105827833",9.21256463748597
"LOC105827834","LOC105827834",19.2169826435783
"LOC105827835","LOC105827835",6.87607048328634
"LOC105827836","LOC105827836",59.3335649594712
"LOC105827837","LOC105827837",33.302957930606
"LOC105827838","LOC105827838",23.0518304911675
"LOC105827839","LOC105827839",6.09524773311831
"LOC105827840","LOC105827840",5.28062780379197
"LOC105827841","LOC105827841",33.9000603068808
"LOC105827843","LOC105827843",4.28404041018361
"LOC105827844","LOC105827844",487.124290081085
"LOC105827845","LOC105827845",151.138544054014
"LOC105827846","LOC105827846",155.761424059992
"LOC105827847","LOC105827847",606.09951184178
"LOC105827848","LOC105827848",10.5940608223048
"LOC105827849","LOC105827849",327.710533151934
"LOC105827850","LOC105827850",126.195044640048
"LOC105827851","LOC105827851",5.8723680449819
"LOC105827852","LOC105827852",10.5135177359836
"LOC105827853","LOC105827853",71.9842686674577
"LOC105827854","LOC105827854",228.321946613622
"LOC105827855","LOC105827855",18.4393290934081
"LOC105827856","LOC105827856",6.0771830600128
"LOC105827857","LOC105827857",43.7934969664624
"LOC105827858","LOC105827858",182.342267059494
"LOC105827859","LOC105827859",15.4334618667219
"LOC105827860","LOC105827860",242.86480617435
"LOC105827861","LOC105827861",1.53614476835945
"LOC105827862","LOC105827862",177.316195380373
"LOC105827863","LOC105827863",354.711064711466
"LOC105827865","LOC105827865",368.960771455193
"LOC105827866","LOC105827866",156.623016138594
"LOC105827867","LOC105827867",96.626593039488
"LOC105827868","LOC105827868",23.1966607781564
"LOC105827869","LOC105827869",26.8552873542116
"LOC105827870","LOC105827870",100.247339665532
"LOC105827871","LOC105827871",2.17714034149856
"LOC105827872","LOC105827872",9.67954557272186
"LOC105827873","LOC105827873",58.8232922122522
"LOC105827874","LOC105827874",10.8755678028075
"LOC105827875","LOC105827875",70.8337329013974
