"","Gene","kTotal"
"18-w","18-w",5.60696266830552
"5-HT1","5-HT1",14.0534443656344
"5-HT2alpha","5-HT2alpha",70.8357844902117
"5-HT2beta","5-HT2beta",12.2256972135404
"5-ht7","5-ht7",28.1677762007124
"A4","A4",10.3576472147675
"ACSF2","ACSF2",10.3434953280287
"AChE-2","AChE-2",50.9001223862577
"AGLU2","AGLU2",47.4759193082643
"ATP5G2","ATP5G2",44.9479292768097
"Abscam","Abscam",9.48187611619194
"Ac3","Ac3",52.2710112799657
"Acph-1","Acph-1",23.8023693102603
"Adar","Adar",162.295076549687
"Adk1","Adk1",40.3886236949078
"Akhr","Akhr",33.2815221125849
"Amel_8916","Amel_8916",12.591803369458
"Amih","Amih",27.5654177850703
"Ancr-1","Ancr-1",32.0267540289538
"Ant","Ant",42.7591638684385
"Antp","Antp",61.3120965649318
"Apamin","Apamin",15.5745586631464
"Apd-1","Apd-1",14.1932288640063
"Apd-2","Apd-2",21.9145158566309
"Apd-3","Apd-3",15.9978522768063
"Apid1","Apid1",100.596814509737
"Apime-ASTA","Apime-ASTA",10.5348025315346
"Argk","Argk",11.7661125077267
"Arp1","Arp1",132.708547500627
"B-gluc1","B-gluc1",59.6195172159195
"BBIP1","BBIP1",46.805521018457
"Blop","Blop",47.1731018621007
"Br-c","Br-c",3.30447513165422
"Brd7","Brd7",261.319943351448
"Burs","Burs",17.5495585702078
"C1q-VP","C1q-VP",34.3540348279537
"CPF1","CPF1",6.54562899361542
"CPF2","CPF2",35.637116270175
"CPR1","CPR1",6.72291701809866
"CPR11","CPR11",8.16900765252954
"CPR12","CPR12",28.6744969884185
"CPR13","CPR13",10.349135197721
"CPR14","CPR14",26.9062169767862
"CPR16","CPR16",116.546473561137
"CPR17","CPR17",26.2340631674925
"CPR18","CPR18",20.8757142633287
"CPR19","CPR19",14.448279494879
"CPR2","CPR2",14.1965152461583
"CPR21","CPR21",13.3446036806041
"CPR22","CPR22",4.25696379878942
"CPR27","CPR27",20.3891615299361
"CPR28","CPR28",15.9330268440786
"CPR3","CPR3",9.12007222138453
"CPR4","CPR4",3.79283833285436
"CPR5","CPR5",44.888592998946
"CPR6","CPR6",8.30022956221403
"CSP1","CSP1",8.19687143326266
"CSP2","CSP2",23.2586071873113
"CSP3","CSP3",22.187652888726
"CSP4","CSP4",6.32588641232596
"CSP6","CSP6",24.2206681630946
"CTL5","CTL5",41.6051168842394
"CUTA","CUTA",18.9440530386897
"CYP6AQ1","CYP6AQ1",30.6353801409157
"Cac","Cac",8.86476953453101
"Calpb","Calpb",68.9846635783899
"Camkii","Camkii",76.3869288152288
"Cat","Cat",87.9559695284472
"Cbs","Cbs",152.140777048689
"Cdc37","Cdc37",60.7982280825229
"Cdk5","Cdk5",73.9569311130291
"Chmp1","Chmp1",10.1434727580909
"Coq7","Coq7",7.28194490006442
