"","Gene","tau"
"LOC552277","LOC552277",0.966119682732824
"LOC102655366","LOC102655366",0.933546347832062
"LOC102655367","LOC102655367",0.985433004611087
"LOC409639","LOC409639",0.458735312306741
"LOC409638","LOC409638",0.774303119743022
"LOC409633","LOC409633",0.987369945819463
"Hex110","Hex110",0.941842877091421
"LOC409631","LOC409631",0.773947201483433
"LOC409637","LOC409637",0.381042351745891
"Gb15078","Gb15078",0.910844210390282
"LOC409634","LOC409634",0.883676795652463
"LOC411904","LOC411904",0.663599479599775
"LOC411905","LOC411905",0.694131853125632
"Syt1","Syt1",0.896821227788016
"LOC411906","LOC411906",0.71249384652836
"LOC412367","LOC412367",0.669429709738189
"LOC408949","LOC408949",0.754919023916205
"LOC412361","LOC412361",0.85411679720731
"LOC412360","LOC412360",0.831922624385136
"LOC412363","LOC412363",0.532252935522383
"LOC412362","LOC412362",0.372269468992893
"LOC408942","LOC408942",0.747282849463954
"LOC408944","LOC408944",0.485871984514307
"LOC408945","LOC408945",0.689800585302
"LOC413366","LOC413366",0.934975335472076
"LOC413365","LOC413365",0.386664379645512
"LOC413362","LOC413362",0.782528409090909
"LOC411902","LOC411902",0.764079542209514
"LOC413361","LOC413361",0.922406626042006
"LOC100577231","LOC100577231",0.948370624585269
"LOC411903","LOC411903",0.444592068024946
"LOC409499","LOC409499",0.589148213007625
"LOC413368","LOC413368",0.767528526989415
"LOC413369","LOC413369",0.827987545498399
"LOC725301","LOC725301",0.573206352698186
"LOC725302","LOC725302",0.788793019604574
"LOC409498","LOC409498",0.38285336952933
"LOC725305","LOC725305",0.942386176449209
"LOC725306","LOC725306",0.600576713886432
"LOC725308","LOC725308",0.825281815194028
"LOC725309","LOC725309",0.837503391128711
"Tom7","Tom7",0.672064790902965
"LOC552515","LOC552515",0.370848857679706
"LOC552514","LOC552514",0.446788965083221
"LOC552517","LOC552517",0.342861017880448
"LOC552516","LOC552516",0.478116332246411
"LOC552511","LOC552511",0.945908520331911
"LOC552510","LOC552510",0.383267606277791
"LOC102656499","LOC102656499",0.857951251646904
"LOC102656498","LOC102656498",0.652969603224824
"LOC102656497","LOC102656497",0.801614687016147
"LOC102656496","LOC102656496",0.999587194275739
"LOC102656494","LOC102656494",0.755544809800129
"LOC102656493","LOC102656493",0.663970188649949
"LOC102656492","LOC102656492",0.745790586534623
"LOC102656491","LOC102656491",0.474316318668132
"LOC102656490","LOC102656490",0.901834631817039
"LOC409491","LOC409491",0.508701485213148
"LOC100577035","LOC100577035",0.802164502164502
"LOC100577033","LOC100577033",0.684904461398156
"LOC100577032","LOC100577032",0.623040388676964
"LOC100577030","LOC100577030",0.935386244669833
"LOC100577039","LOC100577039",0.675593775593776
"LOC100576207","LOC100576207",0.743801652892562
"LOC409636","LOC409636",0.846423941067613
"LOC551154","LOC551154",0.80546794639242
"LOC551156","LOC551156",0.36640235681516
"LOC551157","LOC551157",0.376065421986543
"LOC551150","LOC551150",0.458538761578632
"LOC551151","LOC551151",0.397756784813881
"LOC552652","LOC552652",0.419734762591905
"LOC551153","LOC551153",0.534808761775054
"Mir3782","Mir3782",1
"LOC551158","LOC551158",0.473262762733947
"LOC102656808","LOC102656808",0.659363388654942
"LOC102656809","LOC102656809",0.79656092699571
"LOC552166","LOC552166",0.891616985938734
"LOC552167","LOC552167",0.729096356927041
"LOC552160","LOC552160",0.988455988455988
"LOC552161","LOC552161",0.930690894507917
"LOC552162","LOC552162",0.527907679259203
"LOC552163","LOC552163",0.369464384862543
"LOC102656801","LOC102656801",0.669303849303849
"LOC102656802","LOC102656802",0.717316017316017
"LOC411495","LOC411495",0.82151763677499
"LOC102656804","LOC102656804",0.662550382663468
"LOC102656805","LOC102656805",0.90880828384346
"LOC107965998","LOC107965998",0.802442677727849
"LOC727498","LOC727498",0.869206906243515
"NOS","NOS",0.899099581756049
"LOC552457","LOC552457",0.847355208893671
"LOC727493","LOC727493",0.357286267095027
"LOC727490","LOC727490",0.624979288633602
"Para","Para",0.946054505300096
"LOC100577151","LOC100577151",0.811077993045206
"LOC107965259","LOC107965259",0.69600197177252
"LOC107965258","LOC107965258",0.878686868686869
"LOC107965257","LOC107965257",0.85979381443299
"LOC107965256","LOC107965256",0.770658970658971
"LOC107965255","LOC107965255",0.784801136363636
"LOC107965254","LOC107965254",0.800968329915698
"LOC107965253","LOC107965253",0.766681193526831
"LOC107965252","LOC107965252",0.780321014297276
"LOC107965251","LOC107965251",0.641475586727812
"LOC107965250","LOC107965250",0.565475549100903
"LOC412366","LOC412366",0.906559683781368
"LOC107964029","LOC107964029",0.96031379787725
"LOC107964028","LOC107964028",0.684895691994573
"LOC107964027","LOC107964027",0.98404452690167
"LOC107964026","LOC107964026",0.943385627183668
"LOC107964025","LOC107964025",0.983573304536789
"LOC107964024","LOC107964024",0.767729686571598
"LOC107964023","LOC107964023",0.762399235823121
"LOC107964022","LOC107964022",0.362330168721647
"LOC107964021","LOC107964021",0.682922186309006
"LOC107964020","LOC107964020",0.940693223004623
"LOC412491","LOC412491",0.545030657398912
"LOC100577578","LOC100577578",0.338568139884268
"LOC726438","LOC726438",0.666058228993815
"LOC726437","LOC726437",0.408277291945471
"LOC726436","LOC726436",0.566687266476296
"LOC726435","LOC726435",0.485018752035335
"LOC726434","LOC726434",0.844276094276094
"LOC726433","LOC726433",0.994423861827538
"LOC726432","LOC726432",0.532515026042625
"LOC726431","LOC726431",0.821027384081289
"LOC102654268","LOC102654268",0.858916218742697
"LOC102653814","LOC102653814",0.997022628026995
"LOC102653815","LOC102653815",0.625251180089518
"LOC102653816","LOC102653816",0.978092971357645
"LOC102654265","LOC102654265",0.790164995147202
"LOC102653810","LOC102653810",0.929804915063396
"LOC102653811","LOC102653811",0.879001515748266
"LOC102654260","LOC102654260",0.949104507840981
"LOC102653813","LOC102653813",0.937677984665936
