18-w	NP_001013379.1
5-HT1	NP_001164579.1
5-HT1	XP_006560112.1
5-HT1	XP_006560114.1
5-HT1	XP_006560115.1
5-HT1	XP_006560117.1
5-HT1	XP_016771166.1
5-HT2alpha	NP_001189389.1
5-HT2alpha	XP_006561622.1
5-HT2alpha	XP_006561623.1
5-HT2alpha	XP_006561624.1
5-HT2alpha	XP_006561625.1
5-HT2beta	NP_001191178.1
5-ht7	NP_001071289.1
A4	NP_001107670.1
Abscam	NP_001035325.2
Abscam	XP_006558171.1
Abscam	XP_006558172.1
Abscam	XP_006558173.1
Abscam	XP_006558174.1
Abscam	XP_006558175.1
Abscam	XP_006558176.1
Abscam	XP_006558177.1
Abscam	XP_006558178.1
Abscam	XP_006558179.1
Abscam	XP_016767974.1
Ac3	NP_001071276.1
Ac3	XP_006566308.1
Ac3	XP_006566309.1
Ac3	XP_006566310.1
Ac3	XP_016770149.1
Ac3	XP_016770150.1
AChE-2	NP_001035320.1
Acph-1	NP_001013377.2
Acph-1	XP_006569952.1
Acph-1	XP_016767535.1
Acph-1	XP_016767536.1
Acph-1	XP_016767537.1
Acph-1	XP_016767538.1
ACSF2	NP_001193902.1
ACSF2	XP_006567169.1
Adar	NP_001091684.1
Adar	XP_006563390.1
Adar	XP_016771945.1
Adk1	NP_001164443.1
Adk1	XP_006565501.1
Adk1	XP_006565502.1
AGLU2	NP_001035326.1
Akhr	NP_001035354.1
Amel_8916	NP_001071290.1
Amih	NP_001011568.1
Amih	XP_016768775.1
Amih	XP_016768776.1
Amih	XP_016768777.1
Amih	XP_016768778.1
Amih	XP_016768779.1
Amih	XP_016768780.1
Amih	XP_016768781.1
Amih	XP_016768782.1
Amih	XP_016768783.1
Amih	XP_016768784.1
Amih	XP_016768785.1
Amih	XP_016768786.1
Ant	NP_001010975.1
Antp	NP_001011571.1
Antp	XP_016772382.1
Antp	XP_016772383.1
Antp	XP_016772384.1
Antp	XP_016772385.1
Antp	XP_016772386.1
Antp	XP_016772387.1
Antp	XP_016772388.1
Antp	XP_016772389.1
Antp	XP_016772390.1
Antp	XP_016772391.1
Apamin	NP_001011612.1
Apd-1	NP_001078814.1
Apd-2	NP_001078815.1
Apd-2	XP_006558720.1
Apd-3	NP_001078813.1
apd-3	NP_001167616.1
Apid1	NP_001011613.1
Apime-ASTA	NP_001161181.1
Argk	NP_001011603.1
Argk	XP_006559243.1
Argk	XP_006559245.1
Argk	XP_006559246.1
arm	NP_001172034.1
arm	XP_006557863.1
arm	XP_006557864.1
arm	XP_016771134.1
Arp1	NP_001172074.1
Arp1	NP_001172075.1
ATP5G2	NP_001229585.1
ATP5G2	NP_001229586.1
ATP6	NP_008086.1
ATP8	NP_008085.1
aub	NP_001159378.1
BBIP1	NP_001172015.1
B-gluc1	NP_001157186.1
B-gluc1	XP_016769330.1
B-gluc1	XP_016769331.1
B-gluc1	XP_016769332.1
Blop	NP_001011606.1
Blop	XP_006565647.1
Blop	XP_016771466.1
Br-c	NP_001035356.1
Br-c	XP_006558516.1
Br-c	XP_006558517.1
Br-c	XP_006558519.1
Br-c	XP_006558520.1
Br-c	XP_006558522.1
Br-c	XP_006558523.1
Br-c	XP_006558524.1
Br-c	XP_006558525.1
Br-c	XP_006558526.1
Br-c	XP_006558527.1
Br-c	XP_006558528.1
Br-c	XP_006558529.1
Br-c	XP_006558530.1
Br-c	XP_006558531.1
Br-c	XP_006558532.1
Br-c	XP_006558533.1
Br-c	XP_006558534.1
Br-c	XP_006558535.1
Br-c	XP_006558536.1
Brd7	NP_001229444.1
Brd7	NP_001229445.1
brp	NP_001242968.1
brp	XP_006561571.1
brp	XP_006561572.1
Burs	NP_001091704.1
Burs	XP_006570932.1
C1q-VP	NP_001138311.1
Cac	NP_001159376.1
cact1	NP_001157184.1
cact1	XP_006567170.1
cact1	XP_006567171.1
Cac	XP_006558004.1
Cac	XP_016766516.1
Cac	XP_016766517.1
Cac	XP_016766518.1
Cac	XP_016766519.1
Cac	XP_016766520.1
Cac	XP_016766521.1
Cac	XP_016766522.1
Cac	XP_016766523.1
Cac	XP_016766524.1
Cac	XP_016766525.1
Cac	XP_016766526.1
Cac	XP_016766527.1
Cac	XP_016766528.1
Cac	XP_016766529.1
Cac	XP_016766530.1
Cac	XP_016766531.1
Cac	XP_016766532.1
Cac	XP_016766533.1
Cac	XP_016766534.1
Cac	XP_016766535.1
Cac	XP_016766536.1
Cac	XP_016766537.1
Cac	XP_016766538.1
Cac	XP_016766539.1
Cac	XP_016766540.1
cad	NP_001239359.1
cad	XP_016768300.1
Calpb	NP_001153877.1
Camkii	NP_001128422.1
Camkii	XP_006560569.1
Camkii	XP_006560570.1
Camkii	XP_006560571.1
Camkii	XP_006560572.1
Camkii	XP_006560573.1
Camkii	XP_006560575.1
Camkii	XP_006560576.1
Camkii	XP_006560577.1
Camkii	XP_006560578.1
Camkii	XP_006560579.1
Camkii	XP_006560580.1
Camkii	XP_006560581.1
Camkii	XP_006560582.1
Camkii	XP_006560583.1
Camkii	XP_006560584.1
Camkii	XP_006560587.1
Camkii	XP_006560588.1
Camkii	XP_006560589.1
Camkii	XP_006560590.1
Camkii	XP_006560591.1
Camkii	XP_006560592.1
Camkii	XP_006560593.1
Camkii	XP_006560594.1
Camkii	XP_006560595.1
Camkii	XP_006560596.1
Camkii	XP_006560597.1
Camkii	XP_006560598.1
Camkii	XP_006560599.1
Camkii	XP_006560600.1
Camkii	XP_006560603.1
Camkii	XP_006560604.1
Camkii	XP_016767048.1
Camkii	XP_016767049.1
Camkii	XP_016767050.1
Camkii	XP_016767051.1
Camkii	XP_016767052.1
Camkii	XP_016767053.1
Camkii	XP_016767054.1
Camkii	XP_016767055.1
Camkii	XP_016767056.1
Camkii	XP_016767057.1
Cat	NP_001171540.1
Cbs	NP_001035353.1
Cbs	XP_016767047.1
Cdc37	NP_001229443.1
Cdk5	NP_001161897.1
Chmp1	NP_001229396.1
c-mos	NP_001011644.1
Coq7	NP_001171538.1
COX1	NP_008083.1
COX2	NP_008084.1
COX3	NP_008087.1
Cox6b1	NP_001165874.1
Cox6c	NP_001165876.1
Cox6c	XP_006557542.1
Cox6c	XP_006557543.1
Cox6c	XP_006557544.1
Cox6c	XP_006557545.1
Cox6c	XP_016767967.1
Cpap3-b	NP_001165849.1
Cpap3-c	NP_001165860.1
Cpap3-c	XP_006569264.1
Cpap3-d	NP_001165850.1
CPF1	NP_001257760.1
CPF2	NP_001257761.1
CPF2	NP_001257762.1
CPR11	NP_001257752.1
CPR12	NP_001257753.1
CPR13	NP_001257754.1
CPR14	NP_001257742.1
CPR16	NP_001257755.1
CPR17	NP_001257756.1
CPR18	NP_001257757.1
CPR19	NP_001161365.1
CPR1	NP_001257746.1
CPR21	NP_001257744.1
CPR22	NP_001257743.1
CPR27	NP_001257758.1
CPR28	NP_001257759.1
CPR2	NP_001257747.1
CPR3	NP_001257748.1
CPR4	NP_001257749.1
CPR5	NP_001257750.1
CPR6	NP_001257751.1
crh-BP	NP_001012633.1
Cry2	NP_001077099.1
Cry2	XP_006566012.1
Cry2	XP_006566013.1
Cry2	XP_006566014.1
Cry2	XP_006566015.1
Cry2	XP_016769700.1
Cry2	XP_016769701.1
Cryl1	NP_001129207.1
Crz	NP_001012981.1
Crzr	NP_001137393.1
Crzr	XP_006568558.1
Csd	XP_016766565.1
CSP1	NP_001071288.1
CSP2	NP_001071278.1
CSP2	XP_016773462.1
CSP3	NP_001011583.1
CSP4	NP_001071282.1
CSP4	XP_006557941.1
CSP6	NP_001071287.1
CSP6	XP_016768084.1
CTL5	NP_001229926.1
CUTA	NP_001229386.1
CUTA	XP_016771480.1
Cyp314a1	NP_001035347.1
Cyp314a1	XP_006570230.1
Cyp314a1	XP_006570231.1
Cyp314a1	XP_006570232.1
Cyp314a1	XP_006570233.1
Cyp314a1	XP_016767533.1
Cyp314a1	XP_016767534.1
Cyp4g11	NP_001035323.1
Cyp4g11	XP_006559403.1
Cyp4g11	XP_006559404.1
Cyp4g11	XP_016772392.1
CYP6AQ1	NP_001191991.1
CYP6AQ1	XP_006566904.1
CYP6AQ1	XP_006566905.1
CYP6AQ1	XP_016770827.1
Cyp6as5	NP_001035324.1
CYTB	NP_008093.1
CytC	NP_001170961.1
Dat	NP_001139210.1
Dat	XP_006563265.1
Dat	XP_016767131.1
Dat	XP_016767156.1
Dcr-1	NP_001116485.2
Dcr-1	XP_016767546.1
Def1	NP_001011616.2
Def2	NP_001011638.1
DHRS4	NP_001263356.1
DHRS4	XP_016769703.1
Dll	NP_001124509.1
Dll	XP_006560365.1
Dll	XP_006560367.1
Dll	XP_016771173.1
Dll	XP_016771174.1
Dll	XP_016771175.1
Dl	NP_001011577.1
Dl	NP_001164477.1
Dl	XP_006567060.1
Dl	XP_006567061.1
Dl	XP_006567062.1
Dl	XP_006567063.1
Dl	XP_006567065.1
Dnmt1a	NP_001164522.1
Dnmt1a	XP_006569703.1
Dnmt3	NP_001177350.1
Dnmt3	XP_006568730.1
Dop1	NP_001011595.1
Dop1	XP_006563383.2
Dop1	XP_006563384.1
Dop1	XP_006563385.1
Dop3	NP_001014983.1
Dop3	XP_006561567.1
Dop3	XP_006561568.1
Dop3	XP_006561569.1
Dop3	XP_006561570.1
DopR2	NP_001011567.1
