128up	NP_536733.1
140up	NP_001262561.1
140up	NP_476951.1
14-3-3epsilon	NP_732309.1
14-3-3epsilon	NP_732310.1
14-3-3epsilon	NP_732311.1
14-3-3epsilon	NP_732312.1
14-3-3zeta	NP_001014515.1
14-3-3zeta	NP_001014516.1
14-3-3zeta	NP_001260845.1
14-3-3zeta	NP_001260846.1
14-3-3zeta	NP_476885.2
14-3-3zeta	NP_724884.1
14-3-3zeta	NP_724885.1
14-3-3zeta	NP_724886.1
14-3-3zeta	NP_724887.2
14-3-3zeta	NP_724888.2
14-3-3zeta	NP_724889.2
14-3-3zeta	NP_995792.1
18w	NP_476814.1
26-29-p	NP_620470.1
2mit	NP_001262529.1
2mit	NP_001287310.1
2mit	NP_001287311.1
2mit	NP_650258.2
312	NP_001261254.1
312	NP_612105.1
4E-T	NP_001259078.1
4E-T	NP_726618.3
4E-T	NP_726619.2
4E-T	NP_726620.2
5-HT1A	NP_725849.1
5-HT1B	NP_001137708.2
5-HT1B	NP_001163201.2
5-HT1B	NP_523789.3
5-HT2A	NP_001097684.2
5-HT2A	NP_001163505.1
5-HT2A	NP_001163506.2
5-HT2A	NP_524223.2
5-HT2A	NP_730859.1
5-HT2B	NP_001262373.1
5-HT2B	NP_001287238.1
5-HT2B	NP_649806.2
5-HT7	NP_001263131.1
5-HT7	NP_524599.1
5PtaseI	NP_001138108.1
5PtaseI	NP_001138109.1
5PtaseI	NP_733069.1
7B2	NP_001014608.1
7B2	NP_620471.3
825-Oak	NP_730410.2
a10	NP_524121.2
A16	NP_609598.1
a5	NP_476998.1
a6	NP_001259141.1
a6	NP_001259142.1
a6	NP_477309.1
Aac11	NP_477454.1
AANATL2	NP_001285667.1
AANATL2	NP_609005.1
Aatf	NP_609066.1
aay	NP_524001.2
ABCB7	NP_728642.2
ABCB7	NP_728643.2
abd-A	NP_001163632.1
abd-A	NP_001247145.1
abd-A	NP_476693.1
abd-A	NP_732176.1
Abd-B	NP_001262648.1
Abd-B	NP_001303471.1
Abd-B	NP_001303472.1
Abd-B	NP_001303473.1
Abd-B	NP_001303474.1
Abd-B	NP_524896.2
Abd-B	NP_650577.1
Abd-B	NP_732180.1
Abd-B	NP_732181.1
Abd-B	NP_996220.1
Abi	NP_001097785.1
Abi	NP_001247090.1
Abi	NP_001247091.1
Abi	NP_001262559.1
Abi	NP_001262560.1
Abi	NP_477263.1
Abl	NP_001097623.1
Abl	NP_001261959.1
Abl	NP_001261960.1
Abl	NP_001261961.1
Abl	NP_001261962.1
Abl	NP_001261963.1
Abl	NP_001261964.1
Abl	NP_001261965.1
Abl	NP_001287085.1
Abl	NP_524843.2
ab	NP_001162952.1
ab	NP_001260378.1
ab	NP_001260379.1
ab	NP_476562.1
ab	NP_476563.1
abo	NP_524784.1
Abp1	NP_648657.1
abs	NP_524220.1
Ac13E	NP_001014745.1
Ac13E	NP_001259575.1
Ac13E	NP_477299.1
Ac3	NP_001014496.1
Ac3	NP_610116.2
Ac76E	NP_001246838.1
Ac76E	NP_524173.2
Ac78C	NP_001246857.1
Ac78C	NP_001262137.1
Ac78C	NP_001262138.1
Ac78C	NP_001262139.1
Ac78C	NP_524194.3
Acam	NP_001163737.1
Acam	NP_476988.1
ACC	NP_001097226.1
ACC	NP_001097227.2
ACC	NP_001286177.1
ACC	NP_001286178.1
ACC	NP_610342.1
ACC	NP_724636.1
AcCoAS	NP_001014599.2
AcCoAS	NP_524196.2
AcCoAS	NP_730611.1
Ace	NP_001163600.1
Ace	NP_001262530.1
Ace	NP_476953.1
Acer	NP_001260258.1
Acer	NP_477195.1
Acf	NP_536734.2
achi	NP_001286352.1
achi	NP_725182.1
achi	NP_725183.1
Achl	NP_001286419.1
Achl	NP_610964.1
acj6	NP_001014743.1
acj6	NP_001014744.1
acj6	NP_001138198.1
acj6	NP_001245682.1
acj6	NP_001245683.1
acj6	NP_001245684.1
acj6	NP_001245685.1
acj6	NP_001245686.1
acj6	NP_001245687.1
acj6	NP_001245688.1
acj6	NP_001245689.1
acj6	NP_524876.1
acj6	NP_727845.1
Ack-like	NP_001260934.1
Ack-like	NP_001260935.1
Ack-like	NP_477086.2
Ack-like	NP_477087.3
Ack	NP_647859.1
Acn	NP_001260556.1
Acn	NP_609935.1
Acn	NP_724153.1
ac	NP_476824.1
Acon	NP_001097186.2
Acon	NP_001163030.1
Acon	NP_001286119.1
Acon	NP_524708.1
Acox57D-d	NP_523803.1
Acox57D-p	NP_001286677.1
Acox57D-p	NP_523802.1
Acp1	NP_477115.1
Acp24A4	NP_001036330.1
Acp24A4	NP_001245857.1
Acp26Aa	NP_476644.1
Acp26Ab	NP_001285646.1
Acp26Ab	NP_476645.1
Acp26Ab	NP_599099.1
Acp29AB	NP_523512.2
Acp32CD	NP_001285829.1
Acp32CD	NP_477328.2
Acp33A	NP_523550.3
Acp36DE	NP_001286040.1
Acp36DE	NP_523594.1
Acp53C14a	NP_001286501.1
Acp53C14a	NP_611152.1
Acp53C14b	NP_001286502.1
Acp53C14b	NP_611153.1
Acp53C14c	NP_001014532.1
Acp53C14c	NP_001188961.1
Acp53Ea	NP_477151.1
Acp54A1	NP_001036554.1
Acp62F	NP_523892.1
Acp63F	NP_001303386.1
Acp63F	NP_523906.2
Acp65Aa	NP_477282.2
Acp76A	NP_001246831.1
Acp76A	NP_524153.1
Acp95EF	NP_524898.1
Acp98AB	NP_001263026.1
Acph-1	NP_524917.1
Acph-1	NP_733332.1
Acsl	NP_001014507.1
Acsl	NP_001014508.1
Acsl	NP_001014509.1
Acsl	NP_001014510.1
Acsl	NP_001014511.1
Acsl	NP_001014512.1
Acsl	NP_001260810.1
Acsl	NP_652034.2
Acsl	NP_724695.1
Acsl	NP_724696.1
Act42A	NP_523625.1
Act57B	NP_523800.1
Act5C	NP_001014725.1
Act5C	NP_001014726.1
Act5C	NP_001284915.1
Act5C	NP_511052.1
Act5C	NP_727048.1
Act79B	NP_001262200.1
Act79B	NP_524210.1
Act87E	NP_001287314.1
Act87E	NP_477091.1
Act87E	NP_731812.1
Act88F	NP_524367.1
Actbeta	NP_651942.2
Actn3	NP_524801.1
Actn	NP_001188532.1
Actn	NP_001188533.1
Actn	NP_001259164.1
Actn	NP_001259165.1
Actn	NP_001259166.1
Actn	NP_001259167.1
Actn	NP_477484.2
Actn	NP_477485.1
Actn	NP_726784.1
ACXA	NP_001246011.1
ACXA	NP_001246012.1
ACXA	NP_001260423.1
ACXA	NP_001285883.1
ACXA	NP_620475.2
ACXB	NP_620474.2
ACXC	NP_001033902.1
ACXC	NP_609593.1
ACXD	NP_001261320.1
ACXD	NP_620469.2
ACXE	NP_652601.3
Acyp2	NP_001262612.1
Acyp2	NP_650491.1
Acyp	NP_001285916.1
Acyp	NP_523563.1
Ada1-1	NP_001285858.1
Ada1-1	NP_723707.1
Ada1-2	NP_723703.1
Ada2a	NP_001014634.1
Ada2a	NP_001014635.1
Ada2a	NP_001014636.1
Ada2a	NP_001014637.1
