"gene","FS","FR","PS","PR","Tsil","Trepl","nout","npop","BSnIPRE.class","BSnIPRE.est","BSnIPRE.lbound","BSnIPRE.ubound","BSnIPRE.pneg","BSnIPRE.Rest","BSnIPRE.Rlbound","BSnIPRE.Rubound","BSnIPRE.Rclass","BSnIPRE.tau","BSnIPRE.theta","BSnIPRE.gamma","BSnIPRE.f","BSnIPRE.f.lb","BSnIPRE.f.ub","BSnIPRE.f.class"
"rna10000",0,9,27,9,88,233,2,40,"pos",2.8172716555775,1.2928984085603,4.53769660402063,0,-2.05571164426739,-2.88603056703554,-1.32422567107029,"neg",-0.226298478221554,0.0550278419645911,NA,NA,NA,NA,"neut"
"rna10004",16,4,0,0,222.6667,578.3333,2,40,"neut",1.09494779439952,-2.73130691915785,5.31674693493262,0.2896,-3.53012328140596,-7.76343737879234,0.0839103702201167,"neut",385.904520172282,0.000177659522917967,2.01745432410017,0.0293010984424015,0.0004425048828125,1.08750119533492,"neut"
"rna10007",20,0,0,0,333.3333,956.6667,2,40,"neut",-0.447199166154337,-4.45574599820426,4.13578187696668,0.5696,-4.67823672807243,-9.00014482377534,-0.726551439944684,"neg",503.892219053844,0.000114236846447818,-0.524663627006724,0.00926510186193632,9.5367431640625e-05,0.48356856105398,"neg"
"rna10014",2949,177,1977,0,1987.3333,4999.6667,2,40,"pos",5.23944490803626,3.55765958220845,7.68188219721862,0,-8.97555766401536,-11.413723663122,-7.33300719813903,"neg",7.31561684473436,0.189066716134772,199.272721739587,9.5367431640625e-05,9.5367431640625e-05,0.000301661118168811,"neg"
"rna10016",14,1,3,1,279.3333,743.6667,2,40,"neut",-0.843480579673919,-3.36017926623427,2.23916642745191,0.724,-2.6716803510196,-5.4529936672612,-0.644691945051119,"neg",25.2263584055515,0.00185180812415781,-0.932781807157291,0.0691339623627047,0.00426170159374773,0.524812224561488,"neg"
"rna10019",140,18,9,0,466.3333,1015.6667,2,40,"neut",2.3994265572452,-0.386789553061063,6.17066188130667,0.0442666666666667,-5.23981452700505,-8.98622064587025,-2.5398168094252,"neg",84.1237722734312,0.00349378396437314,9.53718917816597,0.00527309283641706,9.5367431640625e-05,0.0788807886397333,"neg"
"rna10028",64,64,0,0,277,674,2,40,"neut",2.22531508347455,-1.18900109232813,6.45358397334455,0.108,-3.08709591865114,-7.3973108741411,0.252347012063635,"neut",1057.39855521211,0.000209467057732779,7.81549556725713,0.0456279360503021,0.000623927590095134,1.28704194897756,"neut"
"rna10035",717,36,589,36,925.6667,2446.3333,2,40,"neut",-0.176033277285084,-0.63154508624026,0.275094417050399,0.770133333333333,-3.78453973064701,-4.12945600693942,-3.44576752350077,"neg",5.87355102752078,0.120959561946161,-0.225513362090629,0.0226894002363277,0.0160913095826739,0.031879694704338,"neg"
"rna1004",99,0,36,0,345.6667,929.3333,2,40,"neut",0.615676874384163,-2.78307140582682,4.45203254753248,0.355466666666667,-6.96639678476254,-10.9220393156218,-4.20895723229296,"neg",14.1316051492115,0.0192284569887762,0.957848345118905,0.00093517865235705,9.5367431640625e-05,0.0148617295140174,"neg"
"rna10044",1,1,0,0,79.6667,235.3333,2,40,"neut",1.06966149896054,-3.32412207541877,5.26829573386473,0.2992,-2.76959372733061,-7.56737180947415,1.42561185816055,"neut",126.585623154462,0.000103218995904395,1.95189203398379,0.0626864706487855,0.000487798185488846,4.16040197121296,"neut"
