"Gene","GeneName"
"Ant","ADP/ATP translocase"
"Wat","uncharacterized protein LOC406065 precursor"
"Jhe","juvenile hormone esterase precursor"
"Mrjp8","major royal jelly protein 8 precursor"
"Oa1","octopamine receptor"
"Kr-h1","Krueppel homologous protein 1"
"DopR2","dopamine receptor 2"
"Amih","hyperpolarization-activated ion channel"
"Vha16","vacuolar H+ ATP synthase 16 kDa proteolipid subunit"
"Antp","homeobox protein H90"
"Tsf1","transferrin 1 precursor"
"Nmdar1","NMDA receptor 1"
"LOC406081","glucose oxidase"
"nAChRa8","nicotinic acetylcholine receptor alpha8 subunit"
"Tk","tachykinins precursor"
"Dl","dorsal protein isoform A"
"Vg","vitellogenin precursor"
"Mrjp1","major royal jelly protein 1 precursor"
"Mrjp2","major royal jelly protein 2 precursor"
"For","cGMP-dependent protein kinase foraging"
"LOC406093","apisimin precursor"
"CSP3","chemosensory protein 3 precursor"
"SP34","venom serine protease 34 precursor"
"LOC406096","type I inositol 1,4,5-trisphosphate 5-phosphatase"
"IF-2mt","translation initiation factor 2"
"RpL32","60S ribosomal protein L32"
"Obp5","odorant binding protein 5 precursor"
"Obp4","odorant binding protein 4 precursor"
"Obp1","odorant binding protein 1 precursor"
"Obp2","odorant binding protein 2 precursor"
"Tspan6","tetraspanin 6"
"Obp6","odorant binding protein 6 precursor"
"TyrR","tyramine receptor"
"Dop1","dopamine receptor, D1"
"Per","period circadian protein"
"Eaat-2","excitatory amino acid transporter 2"
"LOC406114","alpha-amylase precursor"
"Mrjp5","major royal jelly protein 5 precursor"
"HEX70b","hexamerin 70b precursor"
"Mrjp3","major royal jelly protein 3 precursor"
"Psq","pipsqueak"
"Argk","arginine kinase"
"Rps8","40S ribosomal protein S8"
"Uvop","opsin, ultraviolet-sensitive"
"Blop","opsin, blue-sensitive"
"Melt","melittin precursor"
"Hbg3","alpha-glucosidase precursor"
"Mrjp4","major royal jelly protein 4 precursor"
"Mcdp","mast cell degranulating peptide preproprotein"
"Apamin","apamin preproprotein"
"Apid1","apidaecins type 14 precursor"
"Pla2","phospholipase A2 precursor"
"LOC406142","hymenoptaecin preproprotein"
"Def1","defensin-1 preproprotein"
"LOC406144","abaecin precursor"
"LOC406146","hyaluronidase precursor"
"LOC406147","short-chain dehydrogenase/reductase"
"nAChRa7","nicotinic acetylcholine receptor alpha7 subunit precursor"
"Mrjp6","major royal jelly protein 6 precursor"
"Glurb","metabotropic glutamate receptor B precursor"
"mGlutR1","metabotropic glutamate receptor 1"
"nAChRa2","nicotinic acetylcholine receptor alpha2 subunit precursor"
"PRF","profilin"
"PPO","phenoloxidase subunit A3"
"Ef-1a-f1","elongation factor 1-alpha"
"Mblk-1","mushroom body large-type Kenyon cell-specific protein 1"
"Fabp","fatty acid binding protein"
"E74","ecdysteroid-regulated gene E74"
"Gycbeta1","guanylate cyclase, soluble, beta 1"
"TyHyd","tyrosine hydroxylase"
"Usp","ultraspiracle"
"Y-f","yellow-f precursor"
"Twi","twist"
"Def2","defensin-2 precursor"
"Lop1","rhodopsin, long-wavelength"
"JHBP-1","take-out-like carrier protein precursor"
"Ho","heme oxygenase"
"Gat-1B","GABA neurotransmitter transporter-1B"
"c-mos","mos protein"
"sGC-alpha1","soluble guanylyl cyclase alpha 1 subunit"
"TpnCIIIb","troponin C type IIIb"
"TpnCIIa","troponin C type IIa"
"TpnCIIb","troponin C type IIb"
"LOC503505","icarapin-like precursor"
"crh-BP","corticotropin releasing hormone binding protein"
"sGCbeta-3","soluble guanylyl cyclase beta-3"
"NOS","nitric oxide synthase"
"Crz","pro-corazonin preproprotein"
"EphR","Eph receptor tyrosine kinase precursor"
"Acph-1","venom acid phosphatase Acph-1 precursor"
"18-w","18-wheeler precursor"
"Mrjp7","major royal jelly protein 7 precursor"
"TpnCI","troponin C type I"
"Dop3","D2-like dopamine receptor"
"Dscam","Down syndrome cell adhesion molecule"
"Ip3k","inositol 1,4,5-triphosphate kinase"
"EF1a-F2","elongation factor 1-alpha"
"Gpdh","glycerol-3-phosphate dehydrogenase"
"Mrjp9","major royal jelly protein 9 precursor"
"Fstl5","follistatin-like 5"
"LOC410755","putative tyramine receptor"
"LOC408985","pteropsin"
"Gb15078","uncharacterized protein LOC678510"
"Obp10","odorant binding protein 10 precursor"
"Obp16","odorant binding protein 16 precursor"
"Obp21","odorant binding protein 21 precursor"
"Obp17","odorant binding protein 17 precursor"
"Obp7","odorant binding protein 7"
"Obp3","odorant binding protein 3 precursor"
"Obp14","odorant binding protein 14 precursor"
"Obp13","odorant binding protein 13 precursor"
"Obp9","odorant binding protein 9 precursor"
"Obp11","odorant binding protein 11 precursor"
"Obp18","odorant binding protein 18 precursor"
"Obp12","odorant binding protein 12 precursor"
"AChE-2","acetylcholinesterase 2 precursor"
"nanos","protein nanos"
"Cyp4g11","cytochrome P450 4G11"
"Cyp6as5","cytochrome P450 6AS5"
"Abscam","Dscam family member AbsCAM"
"AGLU2","alpha glucosidase 2 precursor"
"NFRKB","nuclear factor related to kappa-B-binding protein"
"vas","ATP-dependent RNA helicase vasa"
"TpnI","troponin I"
"Cyp314a1","cytochrome P450 314A1"
"TpnT","troponin T, skeletal muscle"
"Hbg2","alpha-glucosidase precursor"
"Pburs","partner of bursicon precursor"
"Cbs","cystathionine-beta-synthase"
"Akhr","adipokinetic hormone receptor"
"LOC551604","Rh-like protein"
"Br-c","broad-complex"
"uzip","unzipped precursor"
"Qbp-1","Queen brain-selective protein-1 precursor"
"LOC678674","allergen Api m 6 precursor"
"Su(var)3-9","suppressor of variegation 3-9 isoform 1"
"Tert","telomerase reverse transcriptase"
"Mad","MAX dimerization protein"
"Metrn","meteorin precursor"
"Ac3","adenylate cyclase 3"
"GluCl","glutamate-gated chloride channel precursor"
"CSP2","chemosensory protein 2 precursor"
"Hiscl1","histamine-gated chloride channel 1 precursor"
"LCCH3","ligand-gated chloride channel homolog 3 precursor"
"Ripk5","dual serine/threonine and tyrosine protein kinase"
"CSP4","chemosensory protein 4 precursor"
"LOC552640","ammonium transporter 1-like"
"pHCl","ligand-gated ion channel pHCl isoform 1"
"Stg-1","stargazin related protein STG-1"
"SsRbeta","signal sequence receptor beta"
"CSP6","chemosensory protein 6 precursor"
"CSP1","chemosensory protein 1 precursor"
"5-ht7","serotonin receptor 7"
"Amel_8916","cys-loop ligand-gated ion channel subunit 8916"
"Glob1","globin 1"
"Tbh","tyramine beta hydroxylase"
"Lop2","long wavelength sensitive opsin 2"
"LOC751767","chemosensory protein 5 precursor"
"nAChRb1","nicotinic acetylcholine receptor beta1 subunit precursor"
"nAChRa3","nicotinic acetylcholine receptor alpha3 subunit precursor"
"LOC411672","neuropeptides capa receptor-like protein"
"nAChRa6","nicotinic acetylcholine receptor alpha6 subunit"
"E75","ecdysone-induced protein 75"
"Stip","Sip1/TFIP11 interacting protein"
"Cry2","cryptochrome 2"
"Apd-3","apidermin 3 precursor"
"Apd-1","apidermin 1 precursor"
"Apd-2","apidermin 2 precursor"
"Tpi","triosephosphate isomerase"
