Gene,SwissProt,UniProt,L2,L3,L4,L5,Head,Gaster,Larval,Overall,Fixed Synonymous,Fixed Non-Synonymous,Polymorphic Synonymous,Polymorphic Non-Synonymous,Number Synonymous,Number Non-Synonymous,BSnIPRE.class,BSnIPRE.est,BSnIPRE.gamma,NI.class,NI.class.BFcorrect,MKtest P-value,"""-LOG(Neutrality Index)""",Raw PS,PS1,PS2
LOC105827748,Collagen alpha-1(IV) chain,Collagen alpha-1(IV) chain (Fragment),NDE,NDE,NDE,NDE,Worker,Worker,NDE,Worker,110,62,23,14,1501.333333,3697.666667,neut,0.008239322,0.010926739,neut,neut,0.986337887,-0.076909094,cellular organisms,cellular,cellular
LOC105827749,-,Pol_6 protein,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105827750,-,Uncharacterized protein,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105827752,-,Uncharacterized protein,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105827753,Protein phosphatase 1 regulatory subunit 12A,Protein phosphatase 1 regulatory subunit 12A,NDE,NDE,NDE,NDE,Reproductive,NDE,NDE,NDE,410,107,115,11,879,2217,pos,0.928563544,1.653670172,pos,neut,0.002852774,1.00370853,cellular organisms,cellular,cellular
LOC105827754,Trypsin-1,Uncharacterized protein,NDE,NDE,Reproductive,NDE,Reproductive,NDE,Reproductive,Reproductive,11,5,2,0,265.3333333,700.6666667,neut,0.457957744,0.683019167,NA,NA,NA,NA,cellular organisms,cellular,cellular
LOC105827755,Glutamyl-tRNA(Gln) amidotransferase subunit B  mitochondrial,Putative glutamyl-tRNA(Gln) amidotransferase subunit B  mitochondrial (Fragment),NDE,NDE,NDE,NDE,Reproductive,NDE,Reproductive,Reproductive,54,36,16,0,427.6666667,1171.333333,pos,1.496635534,3.478872669,NA,NA,NA,NA,cellular organisms,cellular,cellular
LOC105827756,Peptidyl-prolyl cis-trans isomerase B,Peptidyl-prolyl cis-trans isomerase (Fragment),NDE,NDE,NDE,NDE,Worker,NDE,NDE,NDE,13,2,0,0,155,445,neut,0.378395437,0.545696271,NA,NA,NA,NA,cellular organisms,cellular,cellular
LOC105827757,-,Mucin-1,NDE,NDE,NDE,NDE,Worker,NDE,NDE,NDE,2,7,0,7,210,639,neut,-0.729006192,-0.871222261,NA,NA,NA,NA,Monomorium pharaonis,ant,hymenopteran_ant
LOC105827758,Malonyl- acyl-carrier protein  O-methyltransferase,Putative methyltransferase 235L,NDE,NDE,NDE,Worker,Worker,NDE,NDE,NDE,53,57,15,9,198,636,neut,0.521098599,0.79927465,neut,neut,0.295613612,0.583584978,cellular organisms,cellular,cellular
LOC105827759,Transposon TX1 uncharacterized 149 kDa protein,Uncharacterized protein,NDE,NDE,Worker,NDE,Worker,NDE,NDE,NDE,11,40,28,92,585,2142,neut,-0.421412456,-0.651882959,neut,neut,0.958195137,0.101400114,Eukaryota,eukaryote,eukaryote
LOC105827760,FMRFamide receptor,Putative uncharacterized protein (Fragment),NDE,NDE,Reproductive,Reproductive,Worker,Worker,Reproductive,Reproductive,15,1,0,0,290.6666667,735.3333333,neut,0.136264157,0.184226355,NA,NA,NA,NA,Bilateria,bilaterian,bilaterian
LOC105827761,-,Putative uncharacterized protein (Fragment),NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105827762,Type II inositol 3 4-bisphosphate 4-phosphatase,Type II inositol-3 4-bisphosphate 4-phosphatase,NDE,NDE,NDE,NDE,Worker,NDE,NDE,Worker,375,40,90,10,1117.666667,2806.333333,neut,0.047419932,0.063682873,neut,neut,1,-0.040821995,Eukaryota,eukaryote,eukaryote
LOC105827763,Protein scabrous,Uncharacterized protein,NDE,NDE,Worker,NDE,Worker,NDE,NDE,Worker,78,11,11,3,585,1305,neut,-0.062388017,-0.080726709,neut,neut,0.616421489,-0.65953057,Eukaryota,eukaryote,eukaryote
LOC105827764,SRSF protein kinase 1,Putative uncharacterized protein (Fragment),NDE,NDE,NDE,NDE,Reproductive,NDE,NDE,Reproductive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105827765,GLTSCR1-like protein,Uncharacterized protein,NDE,NDE,Worker,NDE,Reproductive,NDE,NDE,NDE,97,26,20,4,1409,3688,neut,0.299712704,0.427367563,neut,neut,0.825602635,0.292823472,Metazoa,bilaterian,bilaterian
LOC105827766,Sodium/hydrogen exchanger 8,Sodium/hydrogen exchanger (Fragment),NDE,NDE,NDE,NDE,NDE,NDE,Reproductive,Reproductive,213,32,36,3,692.6666667,1689.333333,neut,0.590865256,0.914274312,neut,neut,0.493250888,0.589350387,cellular organisms,cellular,cellular
LOC105827767,Diphthamide biosynthesis protein 2,Putative uncharacterized protein (Fragment),NDE,NDE,NDE,NDE,Reproductive,Reproductive,NDE,Reproductive,52,31,8,6,369.3333333,1046.666667,neut,0.059314196,0.079122439,neut,neut,0.924277565,-0.229574442,cellular organisms,cellular,cellular
LOC105827768,Probable methyltransferase BTM2 homolog,Probable methyltransferase BTM2 homolog,NDE,NDE,NDE,Reproductive,NDE,NDE,NDE,Reproductive,31,25,6,3,291.6666667,845.3333333,neut,0.499139345,0.753002691,neut,neut,0.784580053,0.478035801,Eukaryota,eukaryote,eukaryote
LOC105827769,Leucine-rich repeat-containing protein 16A,Leucine-rich repeat-containing protein 16A,NDE,NDE,NDE,NDE,Reproductive,NDE,NDE,NDE,288,43,49,5,1339.666667,3082.333333,neut,0.41872622,0.614344171,neut,neut,0.584004088,0.380622021,cellular organisms,cellular,cellular
LOC105827770,Leucine-rich repeat-containing protein 48,Leucine-rich repeat-containing protein 48,NDE,NDE,NDE,Reproductive,Reproductive,NDE,Reproductive,Reproductive,80,56,12,10,416.6666667,1248.333333,neut,0.042287404,0.056064587,neut,neut,0.885103003,-0.174353387,Eukaryota,eukaryote,eukaryote
LOC105827771,Probable splicing factor  arginine/serine-rich 7,Probable splicing factor  arginine/serine-rich 7,NDE,NDE,NDE,NDE,Reproductive,NDE,NDE,Reproductive,42,5,7,0,493,998,neut,0.495274036,0.743884296,NA,NA,NA,NA,Eukaryota,eukaryote,eukaryote
LOC105827772,Dual oxidase maturation factor 1,Dual oxidase maturation factor 1,NDE,NDE,NDE,NDE,Worker,Reproductive,NDE,Reproductive,67,39,4,6,316.3333333,955.6666667,neut,-0.081242316,-0.103799657,neut,neut,0.271215373,-0.946596081,Opisthokonta,bilaterian,bilaterian
LOC105827773,Longitudinals lacking protein-like,Protein tramtrack  alpha isoform,NDE,NDE,NDE,NDE,Reproductive,NDE,NDE,Reproductive,26,10,2,0,265,785,neut,0.685975381,1.089357049,NA,NA,NA,NA,Metazoa,bilaterian,bilaterian
LOC105827774,Enoyl-CoA delta isomerase 1  mitochondrial,3 2-trans-enoyl-CoA isomerase  mitochondrial,NDE,NDE,NDE,NDE,Worker,NDE,NDE,NDE,49,16,8,4,234.3333333,608.6666667,neut,-0.027324111,-0.03575332,neut,neut,0.783688115,-0.426084395,cellular organisms,cellular,cellular
LOC105827775,Transmembrane protein 208,Transmembrane protein 208,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,4,0,0,0,137.3333333,381.6666667,neut,-0.047080209,-0.06187212,NA,NA,NA,NA,Eukaryota,eukaryote,eukaryote
LOC105827776,Maltase 1,Putative uncharacterized protein (Fragment),NDE,NDE,NDE,NDE,Reproductive,NDE,NDE,NDE,86,40,10,2,514.3333333,1396.666667,neut,0.783559679,1.288600837,neut,neut,0.449358265,0.84397007,cellular organisms,cellular,cellular
LOC105827777,JNK1/MAPK8-associated membrane protein,Putative uncharacterized protein (Fragment),NDE,NDE,NDE,NDE,Reproductive,Reproductive,NDE,Reproductive,12,2,0,0,260,649,neut,0.185514567,0.254353824,NA,NA,NA,NA,Opisthokonta,bilaterian,bilaterian
LOC105827778,Gamma-tubulin complex component 4,Gamma-tubulin complex component 4,NDE,NDE,NDE,NDE,Reproductive,NDE,NDE,Reproductive,33,13,5,0,513.6666667,1409.333333,neut,0.82582446,1.386728592,NA,NA,NA,NA,Eukaryota,eukaryote,eukaryote
LOC105827779,Trans-Golgi network integral membrane protein 2,Putative uncharacterized protein (Fragment),NDE,NDE,NDE,NDE,NDE,NDE,NDE,Reproductive,19,33,5,12,367.6666667,1150.333333,neut,-0.14833878,-0.192191954,neut,neut,0.808557232,-0.323400155,Arthropoda,insect,insect
LOC105827780,Vesicle transport protein USE1,Vesicle transport protein USE1,NDE,NDE,NDE,NDE,Reproductive,NDE,NDE,Reproductive,22,17,1,0,192.6666667,563.3333333,neut,0.891984979,1.524566901,NA,NA,NA,NA,Metazoa,bilaterian,bilaterian
LOC105827781,Osteoclast-stimulating factor 1,Osteoclast-stimulating factor 1,NDE,NDE,Reproductive,Reproductive,NDE,NDE,Reproductive,Reproductive,10,3,1,2,174,480,neut,-0.303006761,-0.377356136,neut,neut,0.4369816,-1.897119985,cellular organisms,cellular,cellular
LOC105827782,-,Odorant receptor,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,73,34,8,10,383,949,neut,-0.439475405,-0.525821185,neut,neut,0.091461925,-0.987242468,Endopterygota,ant,hymenopteran_ant
LOC105827783,60S ribosomal protein L28,60S ribosomal protein L28,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,11,2,1,0,122.6666667,294.3333333,neut,0.355575939,0.511770268,NA,NA,NA,NA,Eukaryota,eukaryote,eukaryote
