XP_012521284.1	gnl|BL_ORD_ID|8850 307658:002292
XP_012521285.1	gnl|BL_ORD_ID|12692 307658:003194
XP_012521286.1	gnl|BL_ORD_ID|6473 307658:001949
XP_012521289.1	gnl|BL_ORD_ID|11093 307658:002b55
XP_012521290.1	gnl|BL_ORD_ID|11094 307658:002b56
XP_012521291.1	gnl|BL_ORD_ID|9823 307658:00265f
XP_012521288.1	gnl|BL_ORD_ID|14733 307658:00398d
XP_012521292.1	gnl|BL_ORD_ID|15444 307658:003c54
XP_012521293.1	gnl|BL_ORD_ID|15444 307658:003c54
XP_012521294.1	gnl|BL_ORD_ID|15444 307658:003c54
XP_012521295.1	gnl|BL_ORD_ID|15444 307658:003c54
XP_012521287.1	gnl|BL_ORD_ID|492 307658:0001ec
XP_012521296.1	gnl|BL_ORD_ID|15444 307658:003c54
XP_012521298.1	gnl|BL_ORD_ID|6474 307658:00194a
XP_012521297.1	gnl|BL_ORD_ID|15444 307658:003c54
XP_012521299.1	gnl|BL_ORD_ID|15444 307658:003c54
XP_012521301.1	gnl|BL_ORD_ID|15444 307658:003c54
XP_012521300.1	gnl|BL_ORD_ID|15444 307658:003c54
XP_012521302.1	gnl|BL_ORD_ID|15444 307658:003c54
XP_012521304.1	gnl|BL_ORD_ID|18083 307658:0046a3
XP_012521303.1	gnl|BL_ORD_ID|15444 307658:003c54
XP_012521306.1	gnl|BL_ORD_ID|18084 307658:0046a4
XP_012521305.1	gnl|BL_ORD_ID|18083 307658:0046a3
XP_012521309.1	gnl|BL_ORD_ID|8517 307658:002145
XP_012521310.1	gnl|BL_ORD_ID|1471 307658:0005bf
XP_012521311.1	gnl|BL_ORD_ID|11484 307658:002cdc
XP_012521308.1	gnl|BL_ORD_ID|14603 307658:00390b
XP_012521307.1	gnl|BL_ORD_ID|17881 307658:0045d9
XP_012521312.1	gnl|BL_ORD_ID|14492 307658:00389c
XP_012521317.1	gnl|BL_ORD_ID|8517 307658:002145
XP_012521313.1	gnl|BL_ORD_ID|14492 307658:00389c
XP_012521314.1	gnl|BL_ORD_ID|14492 307658:00389c
XP_012521316.1	gnl|BL_ORD_ID|14492 307658:00389c
XP_012521315.1	gnl|BL_ORD_ID|14492 307658:00389c
XP_012521318.1	gnl|BL_ORD_ID|14493 307658:00389d
XP_012521319.1	gnl|BL_ORD_ID|13623 307658:003537
XP_012521322.1	gnl|BL_ORD_ID|12441 307658:003099
XP_012521323.1	gnl|BL_ORD_ID|12441 307658:003099
XP_012521325.1	gnl|BL_ORD_ID|12442 307658:00309a
XP_012521324.1	gnl|BL_ORD_ID|12441 307658:003099
XP_012521326.1	gnl|BL_ORD_ID|8517 307658:002145
XP_012521327.1	gnl|BL_ORD_ID|12442 307658:00309a
XP_012521329.1	gnl|BL_ORD_ID|8897 307658:0022c1
XP_012521328.1	gnl|BL_ORD_ID|8897 307658:0022c1
XP_012521321.1	gnl|BL_ORD_ID|12440 307658:003098
XP_012521320.1	gnl|BL_ORD_ID|12440 307658:003098
XP_012521335.1	gnl|BL_ORD_ID|12992 307658:0032c0
XP_012521330.1	gnl|BL_ORD_ID|12991 307658:0032bf
XP_012521331.1	gnl|BL_ORD_ID|12991 307658:0032bf
XP_012521334.1	gnl|BL_ORD_ID|12991 307658:0032bf
XP_012521333.1	gnl|BL_ORD_ID|12991 307658:0032bf
XP_012521332.1	gnl|BL_ORD_ID|12991 307658:0032bf
XP_012521336.1	gnl|BL_ORD_ID|12992 307658:0032c0
XP_012521339.1	gnl|BL_ORD_ID|12994 307658:0032c2
XP_012521338.1	gnl|BL_ORD_ID|12994 307658:0032c2
XP_012521341.1	gnl|BL_ORD_ID|12995 307658:0032c3
XP_012521340.1	gnl|BL_ORD_ID|12995 307658:0032c3
XP_012521342.1	gnl|BL_ORD_ID|12996 307658:0032c4
XP_012521343.1	gnl|BL_ORD_ID|12996 307658:0032c4
XP_012521344.1	gnl|BL_ORD_ID|12996 307658:0032c4
XP_012521345.1	gnl|BL_ORD_ID|12996 307658:0032c4
XP_012521346.1	gnl|BL_ORD_ID|12997 307658:0032c5
XP_012521337.1	gnl|BL_ORD_ID|12993 307658:0032c1
XP_012521347.1	gnl|BL_ORD_ID|12997 307658:0032c5
XP_012521350.1	gnl|BL_ORD_ID|15694 307658:003d4e
XP_012521348.1	gnl|BL_ORD_ID|15693 307658:003d4d
XP_012521349.1	gnl|BL_ORD_ID|15693 307658:003d4d
XP_012521351.1	gnl|BL_ORD_ID|17958 307658:004626
XP_012521352.1	gnl|BL_ORD_ID|17959 307658:004627
XP_012521353.1	gnl|BL_ORD_ID|17959 307658:004627
XP_012521354.1	gnl|BL_ORD_ID|17960 307658:004628
XP_012521355.1	gnl|BL_ORD_ID|18339 307658:0047a3
XP_012521356.1	gnl|BL_ORD_ID|18933 307658:0049f5
XP_012521358.1	gnl|BL_ORD_ID|18934 307658:0049f6
XP_012521357.1	gnl|BL_ORD_ID|18933 307658:0049f5
XP_012521359.1	gnl|BL_ORD_ID|9823 307658:00265f
XP_012521364.1	gnl|BL_ORD_ID|12962 307658:0032a2
XP_012521365.1	gnl|BL_ORD_ID|12963 307658:0032a3
XP_012521363.1	gnl|BL_ORD_ID|12961 307658:0032a1
XP_012521362.1	gnl|BL_ORD_ID|12960 307658:0032a0
XP_012521360.1	gnl|BL_ORD_ID|12960 307658:0032a0
XP_012521361.1	gnl|BL_ORD_ID|12960 307658:0032a0
XP_012521366.1	gnl|BL_ORD_ID|12963 307658:0032a3
XP_012521367.1	gnl|BL_ORD_ID|12692 307658:003194
XP_012521368.1	gnl|BL_ORD_ID|19173 307658:004ae5
XP_012521370.1	gnl|BL_ORD_ID|2429 307658:00097d
XP_012521371.1	gnl|BL_ORD_ID|129 307658:000081
XP_012521372.1	gnl|BL_ORD_ID|9007 307658:00232f
