LOC105827748	XP_012521288.1
LOC105827749	XP_012521289.1
LOC105827750	XP_012521290.1
LOC105827752	XP_012521291.1
LOC105827753	XP_012521292.1
LOC105827753	XP_012521293.1
LOC105827753	XP_012521294.1
LOC105827753	XP_012521295.1
LOC105827753	XP_012521296.1
LOC105827753	XP_012521297.1
LOC105827753	XP_012521299.1
LOC105827753	XP_012521300.1
LOC105827753	XP_012521301.1
LOC105827753	XP_012521302.1
LOC105827753	XP_012521303.1
LOC105827754	XP_012521298.1
LOC105827755	XP_012521304.1
LOC105827755	XP_012521305.1
LOC105827756	XP_012521306.1
LOC105827757	XP_012521307.1
LOC105827758	XP_012521309.1
LOC105827758	XP_012521317.1
LOC105827758	XP_012521326.1
LOC105827759	XP_012521308.1
LOC105827760	XP_012521310.1
LOC105827761	XP_012521311.1
LOC105827762	XP_012521312.1
LOC105827762	XP_012521313.1
LOC105827762	XP_012521314.1
LOC105827762	XP_012521315.1
LOC105827762	XP_012521316.1
LOC105827763	XP_012521318.1
LOC105827764	XP_012521319.1
LOC105827765	XP_012521320.1
LOC105827765	XP_012521321.1
LOC105827766	XP_012521322.1
LOC105827766	XP_012521323.1
LOC105827766	XP_012521324.1
LOC105827767	XP_012521325.1
LOC105827767	XP_012521327.1
LOC105827768	XP_012521328.1
LOC105827768	XP_012521329.1
LOC105827769	XP_012521330.1
LOC105827769	XP_012521331.1
LOC105827769	XP_012521332.1
LOC105827769	XP_012521333.1
LOC105827769	XP_012521334.1
LOC105827770	XP_012521335.1
LOC105827770	XP_012521336.1
LOC105827771	XP_012521337.1
LOC105827772	XP_012521338.1
LOC105827772	XP_012521339.1
LOC105827773	XP_012521340.1
LOC105827773	XP_012521341.1
LOC105827774	XP_012521342.1
LOC105827774	XP_012521343.1
LOC105827774	XP_012521344.1
LOC105827774	XP_012521345.1
LOC105827775	XP_012521346.1
LOC105827775	XP_012521347.1
LOC105827776	XP_012521348.1
LOC105827776	XP_012521349.1
LOC105827777	XP_012521350.1
LOC105827778	XP_012521351.1
LOC105827779	XP_012521355.1
LOC105827780	XP_012521352.1
LOC105827780	XP_012521353.1
LOC105827781	XP_012521354.1
LOC105827782	XP_012521356.1
LOC105827782	XP_012521357.1
LOC105827783	XP_012521358.1
LOC105827785	XP_012521359.1
LOC105827786	XP_012521360.1
LOC105827786	XP_012521361.1
LOC105827786	XP_012521362.1
LOC105827787	XP_012521368.1
LOC105827787	XP_012521376.1
LOC105827788	XP_012521363.1
LOC105827789	XP_012521364.1
LOC105827790	XP_012521365.1
LOC105827790	XP_012521366.1
LOC105827791	XP_012521369.1
LOC105827792	XP_012521370.1
LOC105827793	XP_012521371.1
LOC105827794	XP_012521372.1
LOC105827795	XP_012521373.1
LOC105827795	XP_012521374.1
LOC105827796	XP_012521375.1
LOC105827797	XP_012521377.1
LOC105827798	XP_012521378.1
LOC105827799	XP_012521379.1
LOC105827799	XP_012521380.1
LOC105827799	XP_012521381.1
LOC105827800	XP_012521382.1
LOC105827801	XP_012521383.1
LOC105827801	XP_012521384.1
LOC105827801	XP_012521385.1
LOC105827801	XP_012521386.1
LOC105827801	XP_012521387.1
LOC105827801	XP_012521388.1
LOC105827802	XP_012521389.1
LOC105827802	XP_012521397.1
LOC105827803	XP_012521390.1
LOC105827804	XP_012521391.1
LOC105827804	XP_012521392.1
LOC105827806	XP_012521393.1
LOC105827806	XP_012521394.1
LOC105827806	XP_012521395.1
LOC105827806	XP_012521396.1
LOC105827806	XP_012521398.1
LOC105827807	XP_012521399.1
LOC105827807	XP_012521400.1
LOC105827808	XP_012521401.1
LOC105827809	XP_012521402.1
LOC105827809	XP_012521403.1
LOC105827809	XP_012521404.1
LOC105827809	XP_012521405.1
LOC105827809	XP_012521406.1
LOC105827810	XP_012521410.1
LOC105827810	XP_012521420.1
LOC105827810	XP_012521428.1
LOC105827811	XP_012521407.1
LOC105827811	XP_012521408.1
LOC105827811	XP_012521409.1
LOC105827811	XP_012521411.1
LOC105827811	XP_012521412.1
LOC105827811	XP_012521413.1
LOC105827812	XP_012521414.1
LOC105827813	XP_012521415.1
LOC105827813	XP_012521416.1
LOC105827813	XP_012521417.1
LOC105827813	XP_012521418.1
LOC105827813	XP_012521419.1
LOC105827813	XP_012521421.1
LOC105827813	XP_012521422.1
LOC105827813	XP_012521423.1
LOC105827815	XP_012521424.1
LOC105827816	XP_012521425.1
LOC105827817	XP_012521426.1
LOC105827818	XP_012521427.1
LOC105827819	XP_012521429.1
LOC105827820	XP_012521430.1
LOC105827820	XP_012521431.1
LOC105827821	XP_012521432.1
LOC105827822	XP_012521433.1
LOC105827823	XP_012521434.1
LOC105827825	XP_012521438.1
LOC105827826	XP_012521435.1
LOC105827826	XP_012521436.1
LOC105827826	XP_012521437.1
LOC105827826	XP_012521439.1
LOC105827826	XP_012521440.1
LOC105827826	XP_012521441.1
LOC105827827	XP_012521442.1
LOC105827827	XP_012521443.1
LOC105827828	XP_012521444.1
LOC105827829	XP_012521448.1
LOC105827830	XP_012521445.1
LOC105827831	XP_012521446.1
LOC105827832	XP_012521449.1
LOC105827833	XP_012521450.1
LOC105827834	XP_012521451.1
LOC105827835	XP_012521452.1
LOC105827836	XP_012521453.1
LOC105827836	XP_012521454.1
LOC105827836	XP_012521455.1
LOC105827836	XP_012521456.1
LOC105827836	XP_012521457.1
LOC105827836	XP_012521458.1
LOC105827836	XP_012521459.1
LOC105827837	XP_012521460.1
LOC105827837	XP_012521461.1
LOC105827837	XP_012521462.1
LOC105827838	XP_012521463.1
LOC105827839	XP_012521464.1
LOC105827841	XP_012521465.1
LOC105827843	XP_012521466.1
LOC105827843	XP_012521467.1
LOC105827843	XP_012521468.1
LOC105827843	XP_012521469.1
LOC105827843	XP_012521470.1
LOC105827844	XP_012521471.1
LOC105827845	XP_012521472.1
LOC105827846	XP_012521473.1
LOC105827847	XP_012521474.1
LOC105827847	XP_012521475.1
LOC105827848	XP_012521476.1
LOC105827850	XP_012521477.1
LOC105827850	XP_012521478.1
LOC105827850	XP_012521479.1
LOC105827850	XP_012521480.1
LOC105827850	XP_012521481.1
LOC105827850	XP_012521482.1
LOC105827851	XP_012521484.1
LOC105827851	XP_012521493.1
LOC105827852	XP_012521483.1
LOC105827852	XP_012521485.1
LOC105827852	XP_012521486.1
LOC105827852	XP_012521487.1
LOC105827852	XP_012521488.1
LOC105827853	XP_012521489.1
LOC105827854	XP_012521490.1
LOC105827855	XP_012521491.1
LOC105827856	XP_012521492.1
LOC105827857	XP_012521494.1
LOC105827857	XP_012521495.1
LOC105827857	XP_012521496.1
LOC105827857	XP_012521497.1
LOC105827858	XP_012521498.1
LOC105827859	XP_012521499.1
LOC105827860	XP_012521500.1
LOC105827860	XP_012521501.1
LOC105827861	XP_012521504.1
LOC105827861	XP_012521511.1
LOC105827861	XP_012521519.1
LOC105827862	XP_012521502.1
LOC105827863	XP_012521503.1
LOC105827865	XP_012521505.1
LOC105827866	XP_012521506.1
LOC105827867	XP_012521507.1
LOC105827867	XP_012521508.1
LOC105827867	XP_012521509.1
LOC105827868	XP_012521510.1
LOC105827869	XP_012521512.1
LOC105827870	XP_012521513.1
LOC105827871	XP_012521514.1
LOC105827872	XP_012521515.1
LOC105827872	XP_012521516.1
LOC105827873	XP_012521517.1
LOC105827874	XP_012521518.1
LOC105827875	XP_012521520.1
LOC105827876	XP_012521521.1
LOC105827878	XP_012521522.1
LOC105827878	XP_012521523.1
LOC105827879	XP_012521524.1
LOC105827879	XP_012521525.1
LOC105827880	XP_012521526.1
LOC105827880	XP_012521528.1
LOC105827881	XP_012521531.1
LOC105827882	XP_012521529.1
LOC105827883	XP_012521530.1
LOC105827884	XP_012521532.1
LOC105827884	XP_012521533.1
LOC105827884	XP_012521534.1
LOC105827884	XP_012521535.1
LOC105827885	XP_012521536.1
LOC105827886	XP_012521537.1
LOC105827887	XP_012521538.1
LOC105827887	XP_012521539.1
LOC105827888	XP_012521540.1
LOC105827888	XP_012521541.1
LOC105827888	XP_012521542.1
LOC105827889	XP_012521543.1
LOC105827890	XP_012521544.1
LOC105827892	XP_012521545.1
LOC105827893	XP_012521546.1
LOC105827894	XP_012521547.1
LOC105827894	XP_012521548.1
LOC105827895	XP_012521549.1
LOC105827895	XP_012521550.1
LOC105827896	XP_012521554.1
LOC105827896	XP_012521564.1
LOC105827897	XP_012521551.1
LOC105827898	XP_012521552.1
LOC105827898	XP_012521553.1
LOC105827899	XP_012521555.1
LOC105827900	XP_012521556.1
LOC105827901	XP_012521557.1
LOC105827902	XP_012521558.1
LOC105827903	XP_012521559.1
LOC105827904	XP_012521560.1
LOC105827905	XP_012521561.1
LOC105827906	XP_012521562.1
LOC105827907	XP_012521563.1
