Gene	dN_dS
LOC725479	0.0688
LOC410019	0.0130
LOC551203	0.0273
LOC551562	0.1088
LOC411115	0.0281
LOC410793	0.1534
LOC412281	0.0416
LOC408830	0.0660
LOC412825	0.0260
LOC410502	0.0112
LOC410829	0.0848
LOC412775	0.0807
LOC413332	0.0340
LOC412663	0.0543
LOC411639	0.0929
LOC413097	0.0835
LOC411597	0.1250
LOC411053	0.2343
LOC413036	0.0311
LOC411961	0.0071
LOC727185	0.0206
LOC410775	0.3662
LOC100577456	0.0126
LOC552548	0.2027
LOC726032	0.0773
LOC410109	0.0247
LOC409821	0.0639
LOC551848	0.0434
LOC725131	0.2311
LOC727221	0.1015
LOC725681	0.2325
LOC410739	0.0284
LOC725269	0.0963
LOC100576413	0.2257
LOC726358	0.0364
LOC409243	0.0947
LOC411155	0.0894
LOC410671	0.0719
LOC551356	0.0728
LOC410237	0.5283
LOC552177	0.0705
LOC413021	0.2931
LOC409619	0.2611
LOC408625	0.0072
LOC725704	0.1386
LOC551566	0.0676
LOC410070	0.1296
LOC727278	0.1282
LOC413341	0.0948
LOC409457	0.0444
LOC409393	0.0044
LOC409697	0.0666
LOC726272	0.0646
LOC551291	0.0047
LOC551620	0.0010
LOC412243	0.0744
LOC409673	0.0708
LOC552286	0.0182
LOC413289	0.0032
LOC412815	0.1115
LOC412778	0.0688
LOC408987	0.0309
LOC412371	0.0036
LOC411060	0.0099
LOC412544	0.0306
LOC411744	0.0035
LOC100578434	0.0965
LOC725503	0.1059
LOC408427	0.1791
LOC551168	0.0125
LOC100576709	0.0348
LOC411959	0.1805
LOC412746	0.0369
LOC410408	0.0302
LOC408333	0.0764
LOC412256	0.0289
LOC724747	0.0334
LOC413310	0.1015
LOC552502	0.0348
LOC724971	0.2894
LOC552309	0.0269
LOC412274	0.0158
LOC100578040	0.0985
LOC408677	0.1872
LOC411469	0.0052
LOC409952	0.1130
LOC412002	0.0321
LOC551361	0.1193
LOC410887	0.0189
LOC411248	0.0435
LOC411918	0.0153
LOC413955	0.0063
LOC100576958	0.0636
LOC410785	0.0083
LOC412878	0.0766
LOC725800	0.1316
LOC724423	0.1667
LOC410363	0.2022
LOC409271	0.0178
LOC725928	0.0083
LOC100577501	0.0209
LOC413118	0.0925
LOC726916	0.0580
LOC411474	0.0293
LOC410319	0.1059
LOC725706	0.0486
LOC409212	0.0161
LOC409869	0.0270
LOC727238	0.0525
LOC726736	0.0270
LOC412508	0.0432
LOC409888	0.0824
LOC412091	0.0767
LOC409359	0.0333
LOC100577903	0.1068
LOC412763	0.2045
LOC552684	0.0942
LOC725550	0.0629
LOC551514	0.2921
Abscam	0.0212
LOC102655503	0.1284
LOC412278	0.0568
LOC100578885	0.0644
LOC411355	0.1054
LOC408554	0.0032
LOC410178	0.0247
LOC410161	0.2007
LOC410501	0.0314
LOC552399	0.0836
SPG11	0.2150
LOC413425	0.0178
LOC408804	0.0210
LOC725306	0.0350
LOC410159	0.0376
LOC552019	0.0439
LOC550716	0.0010
LOC413837	0.0045
LOC409743	0.0139
LOC409371	0.0270
LOC410489	0.0825
LOC551498	0.0749
LOC409252	0.0631
LOC551970	0.0213
LOC409993	0.0733
LOC102655980	0.1440
LOC413210	0.1071
LOC412391	0.2564
LOC412092	0.0010
LOC414029	0.0377
LOC726394	0.1864
LOC411038	0.0707
Vg	0.2774
LOC411488	0.0416
LOC412101	0.1777
LOC100578129	0.0206
LOC410874	0.0084
LOC726381	0.0867
LOC100578255	0.1039
LOC409039	0.1604
Cac	0.0534
LOC552031	0.0074
LOC552677	0.0253
LOC409658	0.0714
LOC408335	0.0374
LOC552108	0.0575
LOC725246	0.2100
LOC726766	0.1177
LOC100577272	0.0832
LOC409107	0.0802
LOC724973	0.0569
LOC552414	0.0688
LOC100577393	0.0248
LOC412968	0.1741
LOC412795	0.0539
LOC413399	0.0010
LOC726949	0.1074
LOC413548	0.0215
LOC100577224	0.3778
LOC408960	0.0107
LOC726252	0.3722
LOC412130	0.0570
LOC726723	0.0473
LOC413159	0.3027
LOC411955	0.0593
LOC726791	0.0504
LOC725395	0.1026
LOC408780	0.0410
LOC410527	0.0230
LOC552092	0.0368
LOC727113	0.0311
LOC552580	0.0717
LOC724593	0.0930
LOC408944	0.1198
LOC409703	0.1146
LOC725046	0.0287
LOC100576321	0.0901
LOC409937	0.1532
LOC725118	0.0849
LOC412224	0.0260
LOC100577602	0.2519
LOC727398	0.1342
LOC725611	0.0975
LOC551997	0.0010
LOC412104	0.1076
LOC100577174	0.0433
LOC409616	0.1912
LOC552535	0.0650
LOC102653655	0.5369
LOC410545	0.0070
LOC412128	0.0346
LOC724563	0.0337
LOC726540	0.2082
LOC410352	0.0314
LOC408878	0.1201
LOC413755	0.0423
LOC552576	0.0498
LOC408519	0.0423
LOC408533	0.0310
LOC724215	0.1108
LOC413457	0.0790
LOC411985	0.0301
LOC412676	0.0695
LOC410099	0.0454
LOC725893	0.1640
LOC408624	0.0351
LOC412143	0.0290
LOC413925	0.0533
LOC724603	0.0609
LOC409322	0.0541
LOC552435	0.0851
LOC100578356	0.0648
LOC100578883	0.0048
LOC409049	0.0112
LOC413328	0.1553
LOC724510	0.0250
LOC552026	0.0427
LOC411459	0.0313
LOC551614	0.0621
LOC408653	0.0040
LOC410417	0.2900
LOC552657	0.0858
LOC551061	0.0630
LOC409192	0.1455
LOC100578404	0.0253
LOC408662	0.0370
LOC100577816	0.1154
HEX70b	0.2253
LOC412791	0.3634
LOC411756	0.0471
LOC413959	0.0732
LOC724718	0.0437
LOC408911	0.0181
LOC724288	0.0455
LOC100578955	0.3439
LOC727447	0.1142
LOC409456	0.0405
LOC408718	0.2755
LOC100578201	0.1043
LOC551801	0.0237
LOC413054	0.0393
LOC552519	0.0332
LOC412169	0.0034
LOC552375	0.1721
LOC551881	0.0492
ROCK2	0.0010
LOC725803	0.0173
LOC410940	0.0908
LOC100576185	0.3143
LOC411829	0.0387
LOC727236	0.1360
LOC413025	0.0543
LOC725088	0.0846
LOC413583	0.1928
LOC551809	0.1229
LOC551736	0.0267
LOC724959	0.2056
LOC724520	0.0570
LOC724505	0.0332
LOC411864	0.0347
LOC412893	0.1054
LOC550706	0.0155
LOC551807	0.1643
LOC551331	0.0010
LOC410706	0.0695
LOC551668	0.0818
LOC413132	0.1853
LOC551167	0.0139
LOC724569	0.2725
LOC409897	0.0814
LOC726262	0.0360
LOC412055	0.0477
LOC409082	0.0395
LOC410386	0.0330
LOC409346	0.0620
LOC100576640	0.3919
LOC100577995	0.0641
LOC409439	0.0832
LOC725870	0.0218
LOC724933	0.3414
LOC725284	0.2102
LOC412721	0.0894
LOC413052	0.0839
LOC409020	0.1447
LOC409422	0.3199
LOC724604	0.0098
LOC409395	0.1366
InR-2	0.0221
LOC727223	0.1178
LOC551462	0.0010
LOC409792	0.0410
LOC412650	0.0794
LOC412111	0.0040
LOC107963986	0.0682
LOC410867	0.0651
LOC408552	0.0613
LOC413074	0.0142
LOC409678	0.2650
LOC100577364	0.0595
LOC410968	0.0227
LOC408429	0.1173
LOC409865	0.0367
LOC413294	0.3628
LOC100576717	0.0719
LOC725434	0.0945
LOC410462	0.1923
LOC100578429	0.0513
LOC725169	0.0255
LOC413466	0.1004
LOC411086	0.0010
LOC413170	0.0409
LOC725665	0.1391
LOC412464	0.0637
LOC100578339	0.1316
LOC551472	0.0596
LOC408546	0.0250
LOC409752	0.0345
LOC412354	0.2355
LOC408577	0.0484
LOC100578386	0.2221
LOC725543	0.0436
LOC413344	0.0191
LOC550935	0.0010
LOC412638	0.1009
LOC411073	0.0922
LOC412876	0.0271
LOC408959	0.0631
LOC413176	0.1897
LOC726069	0.0988
LOC413418	0.1139
LOC725388	0.0601
LOC725119	0.0279
LOC100576449	0.0151
LOC727370	0.1874
LOC100576082	0.0729
LOC725048	0.1291
LOC412741	0.0334
LOC413732	0.0204
LOC413690	0.0346
LOC412944	0.0249
LOC726354	0.1331
LOC409918	0.0010
LOC408319	0.0162
LOC724192	0.1942
LOC727180	0.0999
LOC552382	0.0446
LOC413543	0.1151
LOC410006	0.1404
LOC408791	0.0407
LOC409680	0.0874
LOC412074	0.0764
LOC726841	0.1092
LOC551558	0.0533
LOC408408	0.2648
LOC724706	0.0760
LOC409385	0.0695
LOC409713	0.1124
LOC411018	0.0467
LOC552658	0.0027
LOC551799	0.1564
LOC413858	0.2584
LOC726636	0.0599
LOC408358	0.0345
LOC725719	0.0277
LOC551261	0.4807
LOC409906	0.0050
LOC409882	0.3187
LOC100576876	0.1513
LOC410589	0.0226
LOC727591	0.0816
LOC411735	0.0253
LOC412282	0.1709
LOC413369	0.0566
LOC412774	0.2771
LOC410718	0.0853
LOC408905	0.0169
LOC408267	0.0378
LOC410950	0.0235
LOC413423	0.0411
LOC551425	0.0036
LOC412593	0.0010
LOC551746	0.0504
LOC102656840	0.2218
LOC411980	0.1821
LOC408810	0.0401
LOC412887	0.0719
LOC410174	0.0770
LOC409836	0.0395
