gene,isoform,Trepl,Tsil
LOC551173,rna7563,459.0000,174.0000
LOC727418,rna13331,493.6667,163.3333
LOC412397,rna628,1272.6667,476.3333
LOC100576223,rna17705,2854.6667,1018.3333
LOC725786,rna24954,807.0000,252.0000
LOC413583,rna20850,2932.3333,1132.6667
LOC551474,rna21683,1327.6667,496.3333
LOC408406,rna22361,961.6667,412.3333
LOC412935,rna23127,2704.6667,1027.3333
LOC107965712,rna26573,249.6667,89.3333
LOC411307,rna16988,1016.3333,324.6667
LOC410492,rna23682,1115.6667,417.3333
LOC410904,rna7306,2129.6667,846.3333
LOC100577585,rna819,373.3333,127.6667
LOC551449,rna21067,4096.0000,1454.0000
LOC410825,rna5044,1936.6667,811.3333
LOC551381,rna3651,207.3333,77.6667
LOC408314,rna20305,565.6667,199.3333
LOC411581,rna8447,699.0000,246.0000
LOC100578497,rna28912,299.3333,117.6667
LOC725967,rna14244,1116.3333,425.6667
LOC100576156,rna28445,522.3333,197.6667
LOC551917,rna7251,713.6667,258.3333
LOC411917,rna8852,1936.0000,662.0000
LOC100578931,rna23836,600.0000,183.0000
LOC552675,rna26186,534.0000,213.0000
LOC725739,rna29144,259.3333,88.6667
LOC726002,rna9871,2554.3333,928.6667
LOC551577,rna28412,2321.3333,909.6667
LOC100576765,rna7562,451.0000,125.0000
LOC724292,rna21519,2355.0000,885.0000
LOC726085,rna4242,349.3333,115.6667
LOC107965950,rna28804,206.0000,67.0000
LOC726225,rna19845,903.3333,305.6667
LOC409208,rna21416,2250.6667,884.3333
LOC412993,rna7441,997.0000,359.0000
LOC102655949,rna28614,571.0000,203.0000
LOC410328,rna19953,1538.0000,526.0000
LOC409096,rna1908,1186.0000,422.0000
LOC552326,rna15783,949.0000,311.0000
LOC410237,rna17632,8238.0000,3258.0000
LOC412762,rna16252,948.3333,392.6667
LOC551364,rna4803,981.6667,446.3333
LOC413428,rna21020,4598.3333,1740.6667
BBIP1,rna21389,167.3333,51.6667
LOC100577359,rna21437,1220.6667,465.3333
LOC412843,rna6158,1560.3333,569.6667
LOC100578666,rna6674,160.0000,59.0000
LOC107964800,rna15423,286.0000,98.0000
LOC411805,rna22173,1825.0000,662.0000
LOC102656193,rna28997,588.3333,224.6667
LOC408455,rna23831,1137.0000,423.0000
LOC107965338,rna21152,892.6667,361.3333
LOC410796,rna5485,2047.3333,721.6667
LOC727268,rna29049,379.6667,157.3333
LOC102653572,rna28926,295.3333,91.6667
LOC100577673,rna22152,474.6667,146.3333
LOC551472,rna3151,2574.0000,975.0000
LOC410865,rna4763,1740.6667,695.3333
LOC725248,rna25136,4327.0000,1664.0000
LOC413142,rna5441,534.6667,185.3333
LOC412655,rna15311,1978.3333,793.6667
LOC408408,rna22482,2106.0000,918.0000
LOC724776,rna5096,624.3333,221.6667
LOC107965692,rna26549,1735.3333,598.6667
LOC412349,rna26663,389.0000,139.0000
LOC727553,rna29083,996.3333,368.6667
LOC102655388,rna3926,170.6667,63.3333
LOC100576563,rna26263,1540.3333,547.6667
LOC724311,rna12097,3831.3333,1526.6667
LOC411816,rna26654,1027.3333,391.6667
LOC725540,rna20940,315.3333,116.6667
LOC410685,rna2892,2381.0000,910.0000
LOC408945,rna12903,993.0000,372.0000
LOC102653695,rna27411,662.6667,222.3333
LOC408558,rna26525,1007.3333,399.6667
LOC551109,rna2289,1821.6667,563.3333
LOC100577872,rna28034,1003.3333,334.6667
LOC551656,rna8030,422.6667,153.3333
LOC725870,rna14561,3023.6667,1380.3333
LOC727145,rna7451,302.0000,157.0000
LOC725826,rna4227,1301.6667,369.3333
LOC552038,rna840,564.6667,224.3333
LOC550869,rna10849,1127.3333,363.6667
LOC409573,rna24685,1351.0000,431.0000
LOC107965072,rna17237,338.0000,112.0000
LOC102656345,rna28908,418.6667,193.3333
LOC411433,rna20447,700.0000,308.0000
LOC410952,rna6382,717.3333,236.6667
LOC551765,rna21460,960.3333,380.6667
LOC107964648,rna12180,648.3333,212.6667
LOC100578537,rna3924,1962.0000,729.0000
LOC725513,rna12208,442.0000,149.0000
LOC410225,rna17602,925.3333,391.6667
LOC724913,rna22024,369.0000,147.0000
LOC552094,rna1767,1340.3333,564.6667
LOC409950,rna3801,3621.3333,1256.6667
LOC724537,rna242,1921.6667,733.3333
LOC724832,rna12197,800.0000,277.0000
RpL32,rna19651,291.6667,113.3333
LOC724708,rna14616,341.6667,93.3333
LOC107965193,rna2506,298.6667,139.3333
Uqcr11,rna3000,122.0000,34.0000
LOC410134,rna27252,889.3333,337.6667
LOC411998,rna20713,1269.6667,476.3333
LOC409467,rna27909,1274.0000,496.0000
LOC100578648,rna28770,1401.0000,507.0000
LOC102654175,rna2162,437.6667,141.3333
LOC102654894,rna28959,230.6667,90.3333
LOC408515,rna25781,323.3333,123.6667
LOC552181,rna3673,505.3333,160.6667
LOC726133,rna12480,2180.3333,918.6667
LOC725698,rna6220,543.0000,240.0000
LOC724397,rna19384,1105.3333,442.6667
