OGG gene_Mphar gene_Amel
EOG86HK5B LOC105829310 LOC726912
EOG8Z0F1J LOC105836433 LOC408626
EOG83R6G4 LOC105830603 LOC551646
EOG8V72B9 LOC105830606 LOC410766
EOG86DPXP LOC105830609 LOC100578031
EOG8CJZC9 LOC105832274 LOC726788
EOG80S39Z LOC105832276 LOC726609
EOG8W6RRF LOC105832284 LOC100578334
EOG8P8JCF LOC105829325 LOC410769
EOG8RBTDF LOC105840736 LOC100577692
EOG86HK68 LOC105829275 LOC102654047
EOG84XNBG LOC105837391 LOC410771
EOG841T5W LOC105837391 LOC410771
EOG8R52WZ LOC105833137 LOC551203
EOG80GGK8 LOC105833138 LOC100578600
EOG8RJJWC LOC105833140 LOC100578621
EOG84XNBD LOC105833139 LOC410772
EOG8PG8VB LOC105834890 LOC726544
EOG80GGK9 LOC105839136 LOC410664
EOG886C7F LOC105830495 LOC410665
EOG8S1X31 LOC105830463 LOC551448
EOG87DD9G LOC105834455 LOC551555
EOG8NGKH7 LOC105834456 LOC551580
EOG82Z7M2 LOC105838445 LOC100578943
EOG8QVG6N LOC105838440 LOC727290
EOG84N1MJ LOC105836038 LOC411808
EOG86T5W8 LOC105836039 LOC411675
EOG80ZTS7 LOC105830884 LOC412925
EOG8GXJGQ LOC105830883 LOC100578696
EOG879J37 LOC105830891 LOC727019
EOG86T5W3 LOC105836043 LOC552163
EOG8Q2H9P LOC105828398 LOC409479
EOG879J2F LOC105836040 LOC552064
EOG80KBVM LOC105835344 LOC726902
EOG85781Z LOC105832059 LOC412118
EOG82FWBZ LOC105832057 LOC727331
EOG80VZJB LOC105832066 LOC409999
EOG83JG06 LOC105832064 LOC413834
EOG85HVS1 LOC105836845 LOC409852
EOG80S397 LOC105836851 LOC725041
EOG8PVRTD LOC105836847 LOC411665
EOG883H03 LOC105836848 LOC100578066
EOG8CG343 LOC105836849 LOC409931
EOG85QM8P LOC105839197 LOC409930
EOG84BDWH LOC105835569 LOC725306
EOG83BQHC LOC105835571 LOC725343
EOG82RH3H LOC105828426 LOC100577325
EOG8BGCQ9 LOC105837829 LOC409620
EOG8ZKNFP LOC105837828 LOC724537
EOG815K8T LOC105832863 LOC409327
EOG83R6GZ LOC105837335 LOC724679
EOG8MKR9H LOC105831157 LOC408625
EOG8QJVHQ LOC105831161 LOC100576088
EOG8PVRTQ LOC105835981 LOC410763
EOG879J2T LOC105838597 LOC724948
EOG8NGKH3 LOC105829315 LOC100576700
EOG8CC6WN LOC105837848 LOC724992
EOG8MPMJW LOC105835870 LOC410761
EOG8ZKNG9 LOC105839266 LOC100576147
EOG8CZF9P LOC105835871 LOC408623
EOG83FKR7 LOC105827896 LOC412834
EOG8936D2 LOC105827936 LOC725647
EOG8P2SWV LOC105832470 LOC102655778
EOG81K27M LOC105840441 LOC412578
EOG85781T LOC105840442 LOC411985
EOG8NP9XR LOC105840443 LOC726291
EOG857823 LOC105835980 LOC412000
EOG8C5GD0 LOC105835970 LOC726235
EOG851HKP LOC105832065 LOC552162
EOG8XWJST LOC105832070 LOC100578309
EOG8C8BN8 LOC105832071 LOC551450
EOG8H1DQ6 LOC105832062 LOC724375
EOG8WDH6D LOC105837660 LOC724331
EOG85QM83 LOC105830078 LOC102655654
EOG8004CZ LOC105840653 LOC551279
EOG8004CZ LOC105833957 LOC551279
EOG898XV2 LOC105830203 LOC408624
EOG8B2WSK LOC105831557 LOC727419
EOG81VNX6 LOC105831558 LOC550716
EOG851HMD LOC105831560 LOC725884
EOG83V2PS LOC105832677 LOC550706
EOG8KSSDZ LOC105832680 LOC412473
EOG8FFGWB LOC105837791 LOC102655618
EOG886C7H LOC105837790 LOC413784
EOG8RJJW9 LOC105839718 LOC412610
EOG8BVVPM LOC105829477 LOC551574
EOG8S7NJP LOC105829475 LOC724901
EOG8Q2H9Q LOC105829476 LOC725638
EOG85F0JC LOC105837256 LOC412016
EOG8B01J7 LOC105828754 LOC412017
EOG8M68CT LOC105830874 LOC100578752
EOG8MWC1V LOC105834320 LOC727399
EOG84TS35 LOC105839495 LOC725982
EOG8Z398K LOC105833899 LOC725922
EOG8SBHSM LOC105834905 LOC408622
EOG8XPT9H LOC105834906 LOC410757
EOG815K8R LOC105834902 LOC410758
EOG883H0M LOC105837254 LOC409780
EOG8K3PQJ LOC105831356 LOC408618
EOG8R26PS LOC105836969 LOC725745
EOG8DJNR4 LOC105837008 LOC725720
EOG8S4S9S LOC105829605 LOC412511
EOG8S4S9S LOC105839247 LOC412511
EOG8VX517 LOC105839243 LOC552676
EOG83XXZG LOC105839665 LOC725574
EOG8962M5 LOC105828750 LOC413950
EOG8DV8GD LOC105838239 LOC725418
EOG8HB1FK LOC105833068 LOC552648
EOG8D55SJ LOC105833067 LOC725317
EOG8H48ZP LOC105833071 LOC414037
EOG8H756T LOC105830382 LOC552602
EOG8VHP2H LOC105830380 LOC414038
EOG8D55SD LOC105830636 LOC724578
EOG851HKC LOC105832956 LOC409584
EOG8MPMK5 LOC105830590 LOC552083
EOG8VMJ8Q LOC105830589 LOC107963991
EOG8Q5CJB LOC105831382 LOC551909
EOG8Z65HC LOC105839300 LOC100577454
EOG8NKFQM LOC105839296 LOC551842
EOG8CJZCK LOC105830397 LOC107966055
EOG86X23R LOC105830396 LOC100577369
EOG8FFGX8 LOC105838476 LOC409290
EOG8D8218 LOC105827788 LOC100578513
EOG8FXV3D LOC105831570 LOC413244
EOG8VQDJB LOC105840107 LOC102654398
EOG8BGCR1 LOC105831567 LOC100577342
EOG8BP463 LOC105841093 LOC414017
EOG85TGGM LOC105838179 LOC411799
EOG8V9XKD LOC105830390 LOC724795
EOG8BZQZ6 LOC105833253 LOC102654159
EOG879J38 LOC105834733 LOC551321
EOG8DZ4PM LOC105829687 LOC724535
EOG8ZCX09 LOC105829689 LOC412319
EOG89GPBW LOC105831564 LOC408621
EOG822DDQ LOC105831277 LOC408620
EOG81RSQC LOC105831278 LOC102653658
EOG8K6JZS LOC105838410 LOC408619
EOG854CV4 LOC105838411 LOC724233
EOG8897GB LOC105830988 LOC410751
EOG83JFZZ LOC105830989 LOC410752
EOG8936CF LOC105838629 LOC100578445
EOG815K8M LOC105838638 LOC408614
EOG8ZKNGF LOC105838631 LOC410753
EOG8MGW2X LOC105828412 LOC551202
EOG8962MC LOC105828263 LOC409517
EOG81RSQN LOC105838658 LOC107965891
EOG84TS41 LOC105836634 LOC551383
EOG8RFPNP LOC105829356 LOC410754
EOG8P2SXN LOC105829355 LOC100578324
EOG8J9QTK LOC105835835 LOC408616
EOG8MSGSF LOC105835837 LOC412282
EOG85QM87 LOC105828563 LOC725816
EOG8962MJ LOC105835833 LOC551443
EOG8W6RRJ LOC105835834 LOC551411
EOG89W58N LOC105828561 LOC413303
EOG8BP46H LOC105828562 LOC727479
EOG8N5ZRQ LOC105833603 LOC551819
EOG80ZTSW LOC105828866 LOC102656812
EOG80ZTSW LOC105838316 LOC102656812
EOG8BS0FP LOC105828864 LOC412141
EOG870XBP LOC105828865 LOC725841
EOG86Q9N1 LOC105836934 LOC726088
EOG83NB7J LOC105836937 LOC552636
EOG8T4GQQ LOC105836628 LOC726449
EOG8V4631 LOC105836189 LOC409468
EOG8H7566 LOC105833250 LOC410043
EOG8RV5MH LOC105829913 LOC413735
EOG8ZKNH1 LOC105829914 LOC726221
EOG8J9QTD LOC105828451 LOC726298
EOG8W3WH3 LOC105828450 LOC412523
EOG8XH2TZ LOC105833307 LOC724328
EOG8284WD LOC105839158 LOC409957
EOG8XH2TW LOC105832732 LOC724234
EOG82C144 LOC105832731 LOC551154
EOG80VZK4 LOC105828264 LOC724144
EOG87M4SD LOC105836852 LOC724115
EOG8FN7C8 LOC105829920 LOC727539
EOG8K3PR0 LOC105829918 LOC412480
EOG8S7NKH LOC105836328 LOC727087
EOG83BQHJ LOC105836327 LOC100578907
EOG8936CN LOC105836331 LOC727079
EOG82C14M LOC105839566 LOC552052
EOG8PK53T LOC105830095 LOC413867
EOG8VQDJ9 LOC105830085 LOC552001
EOG890B5F LOC105830586 LOC551974
EOG87WRHZ LOC105830584 LOC413868
EOG82NMTM LOC105835455 LOC409527
EOG84XNB4 LOC105835454 LOC107965181
EOG8CRPTP LOC105836144 LOC724455
EOG8V72B0 LOC105836143 LOC412546
EOG890B51 LOC105832685 LOC724585
EOG83FKRR LOC105832683 LOC409360
EOG8FTZTR LOC105832678 LOC724634
EOG8GJ2HV LOC105833694 LOC412829
EOG82RH3K LOC105838190 LOC412458
EOG83FKSC LOC105838192 LOC100577039
EOG8B2WRC LOC105831658 LOC410070
EOG8XD6MF LOC105835793 LOC725040
EOG8B2WRQ LOC105835794 LOC414022
EOG83BQH8 LOC105839152 LOC414021
EOG8W6RQF LOC105836281 LOC412103
EOG861703 LOC105836286 LOC726119
EOG8RBTF1 LOC105836278 LOC100579018
EOG89S92F LOC105834652 LOC725945
EOG8PP1BF LOC105836696 LOC552294
EOG8R7Z5N LOC105836699 LOC552316
EOG8GBB1V LOC105836698 LOC412287
EOG8T7BZH LOC105838630 LOC552038
EOG8BP465 LOC105833251 LOC410749
EOG869TPH LOC105829548 LOC725606
EOG8CZF9D LOC105832045 LOC100576291
EOG8H1DQM LOC105832215 LOC550785
EOG8PP1CF LOC105838188 LOC725419
EOG8H48ZX LOC105831211 LOC725345
EOG85MR12 LOC105831208 Or2
EOG8HMN4X LOC105831215 LOC413346
EOG818FGW LOC105831214 LOC100576547
EOG8MKRBB LOC105831205 LOC411406
EOG8MKRBB LOC105831218 LOC411406
EOG89KJKG LOC105831217 LOC411407
EOG8R26Q1 LOC105840568 LOC411408
EOG837V8H LOC105832008 LOC409383
EOG8GBB2F LOC105832011 LOC412189
EOG8004D0 LOC105838611 LOC412190
EOG8616ZM LOC105838609 LOC411794
EOG8NZXNH LOC105838608 LOC100576321
EOG8M3D44 LOC105838612 Trxr-1
EOG841T6W LOC105838614 LOC410033
EOG8NKFQX LOC105835303 LOC724280
EOG8GJ2HQ LOC105836672 LOC409417
EOG8XKZ2D LOC105832387 Dat
EOG8M68C4 LOC105837813 LOC551416
EOG8HB1FG LOC105828485 LOC413813
EOG8JHG9J LOC105837706 LOC551384
EOG81ZJ5K LOC105830156 LOC410741
EOG8QVG6M LOC105833354 LOC408609
EOG8B2WRX LOC105838151 LOC107964213
EOG82C13Z LOC105831999 LOC550645
EOG8QVG6T LOC105837411 LOC726243
EOG8PRWK9 LOC105831487 LOC410748
EOG8323SJ LOC105837234 LOC410747
EOG8MSGSP LOC105833804 LOC552457
EOG86T5W2 LOC105833807 LOC410745
EOG8PCDMM LOC105833806 LOC410744
EOG83XXZ3 LOC105840310 LOC410743
EOG83XXZ3 LOC105833015 LOC410743
EOG87Q11D LOC105834908 LOC725775
EOG890B4T LOC105837827 LOC725575
EOG880MR3 LOC105837826 LOC413069
EOG841T6G LOC105837820 LOC413068
EOG80CMBB LOC105837817 LOC725420
EOG80CMBB LOC105837816 LOC725420
EOG80CMBB LOC105837819 LOC725420
EOG8FJC4X LOC105835075 LOC725318
EOG873SKR LOC105836918 LOC100577002
EOG8R26QF LOC105836914 LOC102653718
EOG8GBB2D LOC105836919 LOC552650
EOG83V2Q0 LOC105837264 LOC725149
EOG8VHP1X LOC105831354 LOC100577194
EOG8KSSFF LOC105832843 LOC100576961
EOG8PG8VF LOC105832845 LOC726412
EOG83JG13 LOC105832844 LOC409749
EOG8THZP5 LOC105838639 LOC413056
EOG8ZGS7Q LOC105838634 LOC726451
EOG870XBQ LOC105836695 LOC413055
EOG841T63 LOC105836694 LOC409748
EOG8ZGS7C LOC105829491 LOC410740
EOG898XV1 LOC105829490 LOC410739
EOG805VVS LOC105838873 LOC726578
EOG87M4S5 LOC105829547 LOC410736
EOG8V72B8 LOC105829545 LOC726646
EOG8V72B8 LOC105829545 LOC727543
EOG8TB75H LOC105829544 LOC413425
EOG8STW02 LOC105828876 LOC100577481
EOG8V9XM0 LOC105833927 LOC100576770
EOG8Q87RR LOC105832755 LOC413754
EOG8PP1BX LOC105829406 LOC726729
EOG844PF4 LOC105840594 LOC408604
EOG81RSPC LOC105838373 LOC726742
EOG8ZSCZJ LOC105829856 LOC100577003
EOG8ZSCZJ LOC105834495 LOC100577003
EOG8WQ3XS LOC105827761 LOC102653957
EOG8WQ3XS LOC105834491 LOC102653957
EOG8XSPJP LOC105829041 LOC100577113
EOG8RR9C9 LOC105829040 LOC551241
EOG85TGH1 LOC105829039 LOC409966
EOG8DZ4PV LOC105829835 LOC410732
EOG8P5P5H LOC105835091 LOC408601
EOG8GTP7C LOC105835090 LOC408602
EOG8N0797 LOC105836317 LOC102656489
EOG8PZN1W LOC105838546 LOC102655249
