NP_001011562.1	gnl|BL_ORD_ID|7560 7460:001d88
NP_001011570.1	gnl|BL_ORD_ID|5741 7460:00166d
NP_001011568.1	gnl|BL_ORD_ID|7503 7460:001d4f
NP_001010975.1	gnl|BL_ORD_ID|2306 7460:000902
NP_001011567.1	gnl|BL_ORD_ID|9692 7460:0025dc
NP_001011564.1	gnl|BL_ORD_ID|14525 7460:0038bd
NP_001011563.1	gnl|BL_ORD_ID|13132 7460:00334c
NP_001011565.1	gnl|BL_ORD_ID|12324 7460:003024
NP_001011571.1	gnl|BL_ORD_ID|10784 7460:002a20
NP_001011572.1	gnl|BL_ORD_ID|9762 7460:002622
NP_001011566.1	gnl|BL_ORD_ID|2887 7460:000b47
NP_001011574.1	gnl|BL_ORD_ID|4333 7460:0010ed
NP_001011576.1	gnl|BL_ORD_ID|8812 7460:00226c
NP_001011575.1	gnl|BL_ORD_ID|876 7460:00036c
NP_001011573.1	gnl|BL_ORD_ID|6557 7460:00199d
NP_001011577.1	gnl|BL_ORD_ID|3844 7460:000f04
NP_001011579.1	gnl|BL_ORD_ID|14516 7460:0038b4
NP_001011578.1	gnl|BL_ORD_ID|9101 7460:00238d
NP_001011582.1	gnl|BL_ORD_ID|12964 7460:0032a4
NP_001011583.1	gnl|BL_ORD_ID|11767 7460:002df7
NP_001011585.1	gnl|BL_ORD_ID|9584 7460:002570
NP_001011587.1	gnl|BL_ORD_ID|6882 7460:001ae2
NP_001011584.1	gnl|BL_ORD_ID|8111 7460:001faf
NP_001011580.1	gnl|BL_ORD_ID|14523 7460:0038bb
NP_001011586.1	gnl|BL_ORD_ID|1926 7460:000786
NP_001011588.1	gnl|BL_ORD_ID|12766 7460:0031de
NP_001011581.1	gnl|BL_ORD_ID|9453 7460:0024ed
NP_001011589.1	gnl|BL_ORD_ID|12771 7460:0031e3
NP_001011590.1	gnl|BL_ORD_ID|14887 7460:003a27
NP_001011591.1	gnl|BL_ORD_ID|12768 7460:0031e0
NP_001011592.1	gnl|BL_ORD_ID|676 7460:0002a4
NP_001011593.1	gnl|BL_ORD_ID|12767 7460:0031df
NP_001011594.1	gnl|BL_ORD_ID|7031 7460:001b77
NP_001011597.1	gnl|BL_ORD_ID|9332 7460:002474
NP_001011595.1	gnl|BL_ORD_ID|9728 7460:002600
NP_001011598.1	gnl|BL_ORD_ID|9401 7460:0024b9
NP_001011596.1	gnl|BL_ORD_ID|11528 7460:002d08
NP_001011600.1	gnl|BL_ORD_ID|11174 7460:002ba6
NP_001011599.1	gnl|BL_ORD_ID|14519 7460:0038b7
NP_001011603.1	gnl|BL_ORD_ID|13791 7460:0035df
NP_001011604.2	gnl|BL_ORD_ID|2553 7460:0009f9
NP_001011605.1	gnl|BL_ORD_ID|10860 7460:002a6c
NP_001011606.1	gnl|BL_ORD_ID|1557 7460:000615
NP_001011607.1	gnl|BL_ORD_ID|3921 7460:000f51
NP_001011611.2	gnl|BL_ORD_ID|664 7460:000298
NP_001011602.1	gnl|BL_ORD_ID|12695 7460:003197
NP_001011608.1	gnl|BL_ORD_ID|3103 7460:000c1f
NP_001011612.1	gnl|BL_ORD_ID|665 7460:000299
NP_001011610.1	gnl|BL_ORD_ID|14517 7460:0038b5
NP_001011613.1	gnl|BL_ORD_ID|10798 7460:002a2e
NP_001011601.1	gnl|BL_ORD_ID|14515 7460:0038b3
NP_001011616.2	gnl|BL_ORD_ID|1355 7460:00054b
NP_001011615.1	gnl|BL_ORD_ID|10716 7460:0029dc
NP_001011614.1	gnl|BL_ORD_ID|7838 7460:001e9e
NP_001011617.1	gnl|BL_ORD_ID|6967 7460:001b37
NP_001011619.1	gnl|BL_ORD_ID|12196 7460:002fa4
NP_001011620.1	gnl|BL_ORD_ID|13769 7460:0035c9
NP_001011621.1	gnl|BL_ORD_ID|12463 7460:0030af
NP_001011626.2	gnl|BL_ORD_ID|374 7460:000176
NP_001011622.1	gnl|BL_ORD_ID|14518 7460:0038b6
NP_001011624.1	gnl|BL_ORD_ID|4730 7460:00127a
NP_001011625.1	gnl|BL_ORD_ID|2519 7460:0009d7
NP_001011623.1	gnl|BL_ORD_ID|13227 7460:0033ab
NP_001011627.1	gnl|BL_ORD_ID|3569 7460:000df1
NP_001011628.1	gnl|BL_ORD_ID|11480 7460:002cd8
NP_001011630.1	gnl|BL_ORD_ID|9307 7460:00245b
NP_001011636.1	gnl|BL_ORD_ID|681 7460:0002a9
NP_001011633.1	gnl|BL_ORD_ID|917 7460:000395
NP_001011632.1	gnl|BL_ORD_ID|12366 7460:00304e
NP_001011631.1	gnl|BL_ORD_ID|8674 7460:0021e2
NP_001011634.1	gnl|BL_ORD_ID|2565 7460:000a05
NP_001011638.1	gnl|BL_ORD_ID|7259 7460:001c5b
NP_001011635.1	gnl|BL_ORD_ID|5668 7460:001624
NP_001011637.1	gnl|BL_ORD_ID|399 7460:00018f
NP_001011639.2	gnl|BL_ORD_ID|9732 7460:002604
NP_001011640.1	gnl|BL_ORD_ID|8093 7460:001f9d
NP_001011641.1	gnl|BL_ORD_ID|8814 7460:00226e
NP_001011653.1	gnl|BL_ORD_ID|4924 7460:00133c
NP_001011652.1	gnl|BL_ORD_ID|588 7460:00024c
NP_001011643.1	gnl|BL_ORD_ID|10691 7460:0029c3
NP_001011654.1	gnl|BL_ORD_ID|7828 7460:001e94
NP_001011650.1	gnl|BL_ORD_ID|12343 7460:003037
NP_001011644.1	gnl|BL_ORD_ID|14549 7460:0038d5
NP_001012431.1	gnl|BL_ORD_ID|723 7460:0002d3
NP_001012633.1	gnl|BL_ORD_ID|422 7460:0001a6
NP_001012981.1	gnl|BL_ORD_ID|13319 7460:003407
NP_001013377.2	gnl|BL_ORD_ID|1271 7460:0004f7
NP_001012645.1	gnl|BL_ORD_ID|1249 7460:0004e1
NP_001014430.1	gnl|BL_ORD_ID|4961 7460:001361
NP_001012980.1	gnl|BL_ORD_ID|13034 7460:0032ea
NP_001014429.1	gnl|BL_ORD_ID|14524 7460:0038bc
NP_001013024.1	gnl|BL_ORD_ID|1543 7460:000607
NP_001013379.1	gnl|BL_ORD_ID|3300 7460:000ce4
NP_001014983.1	gnl|BL_ORD_ID|2454 7460:000996
NP_001014992.1	gnl|BL_ORD_ID|3028 7460:000bd4
NP_001014994.1	gnl|BL_ORD_ID|1315 7460:000523
NP_001019868.1	gnl|BL_ORD_ID|14526 7460:0038be
NP_001014993.1	gnl|BL_ORD_ID|1287 7460:000507
NP_001032395.1	gnl|BL_ORD_ID|13282 7460:0033e2
NP_001027532.1	gnl|BL_ORD_ID|640 7460:000280
NP_001035057.1	gnl|BL_ORD_ID|12749 7460:0031cd
NP_001035294.1	gnl|BL_ORD_ID|10445 7460:0028cd
NP_001035293.1	gnl|BL_ORD_ID|1667 7460:000683
NP_001035295.1	gnl|BL_ORD_ID|5926 7460:001726
