OGG,gene_Mphar,gene_Amel,gene_Dmel_FLYBASE,uniprot
EOG8MSFK9,LOC105830606,LOC410766,FBpp0076685,"CG8368, isoform A"
EOG8WM6J1,LOC105832274,LOC726788,FBpp0076083,"CG6674, isoform B"
EOG8W102N,LOC105832276,LOC726609,FBpp0076077,LD19812p
EOG89357R,LOC105832284,LOC100578334,FBpp0088516,BHLH protein
EOG8RR84D,LOC105829325,LOC410769,FBpp0072583,LP21249p
EOG8JT1V7,LOC105840736,LOC100577692,FBpp0303113,"Klumpfuss, isoform B"
EOG87H7BD,LOC105837391,LOC410771,FBpp0072049,CG2812
EOG8VDRKF,LOC105833138,LOC100578600,FBpp0073774,SD04373p
EOG80K9MM,LOC105833140,LOC100578621,FBpp0073775,"CG5541, isoform A"
EOG8J9PM2,LOC105839136,LOC410664,FBpp0088810,Protein arginine N-methyltransferase 5 (2.1.1.-)
EOG8Z0CTC,LOC105830495,LOC410665,FBpp0076121,SD25906p
EOG8V44W8,LOC105830463,LOC551448,FBpp0076145,"CG6767, isoform F"
EOG8J3Z72,LOC105838445,LOC100578943,FBpp0075098,Transmembrane protein 258 homolog
EOG8SXQ0T,LOC105838440,LOC727290,FBpp0080386,  
EOG8DBW22,LOC105836038,LOC411808,FBpp0076903,"Proline dehydrogenase 1, mitochondrial (1.5.5.2)"
EOG8W101T,LOC105836039,LOC411675,FBpp0309183,EG:30B8.6 protein
EOG8GJ19J,LOC105830884,LOC412925,FBpp0070921,"CG14439, isoform A"
EOG80035X,LOC105830883,LOC100578696,FBpp0084363,CG12290
EOG8SJ731,LOC105830891,LOC727019,FBpp0074415,"CG32544, isoform A"
EOG8CZD34,LOC105836043,LOC552163,FBpp0079595,Dolichyl-P-Glc:Man9GlcNAc2-PP-dolichyl glucosyltransferase (2.4.1.267)
EOG8B5QTF,LOC105828398,LOC409479,FBpp0085166,"Ribosomal protein L6, isoform A"
EOG8R7WZ0,LOC105836040,LOC552064,FBpp0070670,Beta3 protein
EOG8DJMMF,LOC105835344,LOC726902,FBpp0072155,CG13564
EOG8DJMMF,LOC105835344,LOC726902,FBpp0073691,CG12479
EOG8DJMMF,LOC105835344,LOC726902,FBpp0291026,CG41128
EOG85TF8J,LOC105832059,LOC412118,FBpp0112540,"CG40178, isoform A"
EOG8V44VR,LOC105832057,LOC727331,FBpp0071048,AT01932p
EOG8J9PM3,LOC105832064,LOC413834,FBpp0302921,"Atypical protein kinase C, isoform A"
EOG88GXQJ,LOC105836845,LOC409852,FBpp0076839,LD44960p
EOG8M93CZ,LOC105836848,LOC100578066,FBpp0074781,Glycogen-binding subunit 76A
EOG8GQRSS,LOC105836849,LOC409931,FBpp0072515,CG12038
EOG8N0642,LOC105839197,LOC409930,FBpp0072246,  
EOG8JWX1B,LOC105835569,LOC725306,FBpp0290929,89B helicase
EOG841RZN,LOC105835571,LOC725343,FBpp0086558,Alkyldihydroxyacetonephosphate synthase (2.5.1.26)
EOG88SJF5,LOC105837829,LOC409620,FBpp0076695,CG10144
EOG8HMKXH,LOC105837828,LOC724537,FBpp0076806,Ubiquitin carboxyl-terminal hydrolase 36 (3.4.19.12)
EOG8DJMJT,LOC105837335,LOC724679,FBpp0301019,"CG40498, isoform F"
EOG8X993X,LOC105831157,LOC408625,FBpp0306703,Leucine-rich repeat kinase
EOG8FTXPK,LOC105831161,LOC100576088,FBpp0080143,Mitochondrial ribosomal protein S23
EOG879GW1,LOC105835981,LOC410763,FBpp0085222,Deoxyhypusine hydroxylase (1.14.99.29)
EOG8Q86JV,LOC105838597,LOC724948,FBpp0075756,Protein KRI1 homolog
EOG8JM9CJ,LOC105837848,LOC724992,FBpp0082462,RRP15-like protein
EOG8Z0CVX,LOC105835870,LOC410761,FBpp0073962,HCG-1
EOG8Z0CVX,LOC105835870,LOC410761,FBpp0290550,CORL
EOG8D28BS,LOC105839266,LOC100576147,FBpp0088311,CG11152
EOG8GTN1H,LOC105835871,LOC408623,FBpp0083112,Endophilin-A
EOG8QC2S8,LOC105827896,LOC412834,FBpp0086416,LD41918p
EOG8HX6NV,LOC105827936,LOC725647,FBpp0070111,"CG17829, isoform A"
EOG8HX6NV,LOC105827936,LOC725647,FBpp0071087,40S ribosomal protein S6
EOG8HHQPM,LOC105832470,LOC102655778,FBpp0099977,"Translation factor waclaw, mitochondrial (3.6.5.-)"
EOG8FJ9ZX,LOC105840441,LOC412578,FBpp0112462,Mediator of RNA polymerase II transcription subunit 21
EOG8M3BW9,LOC105840442,LOC411985,FBpp0112592,Histone-lysine N-methyltransferase SETD1 (2.1.1.43)
EOG8B2VJ3,LOC105840443,LOC726291,FBpp0112713,"CG41099, isoform D"
EOG8V713R,LOC105835980,LOC412000,FBpp0076143,"CG6761, isoform B"
EOG83N919,LOC105832065,LOC552162,FBpp0290722,SH3 domain-binding protein 5 homolog
EOG88PP66,LOC105832070,LOC100578309,FBpp0078000,CG32437
