"","Gene","logFC","logCPM","LR","PValue","FDR","OGGend","gene_Amel","gene_Mphar"
"1","128up",-0.956848172129502,6.54319466921556,15.803899483184,7.025756032729e-05,0.00014324552287634,"EOG090R07C2","LOC411280","LOC105835802"
"2","14-3-3epsilon",-0.79029771715258,9.35440156187178,18.1109121286148,2.08403682807736e-05,4.52980355479178e-05,"EOG090R0A78","LOC408951","LOC105839756"
"3","14-3-3zeta",0.106093021821968,9.04097055432989,0.29932226130386,0.584307614292462,0.633635585211843,"EOG090R0BAC","LOC102655329","LOC105836269"
"4","140up",-1.40277492804934,3.31769483183598,10.5335507176003,0.0011722677322721,0.00203787316973985,"EOG090R0FJT","LOC100577982","LOC105836585"
"5","26-29-p",-2.22558942431188,9.58427017239973,115.751602141549,5.38717820286178e-27,6.29535666191397e-26,"EOG090R03HL","LOC409517","LOC105828263"
"6","312",0.73315809475284,3.61222553970444,4.61687439951098,0.031658877016005,0.0444285071231223,"EOG090R0HRI","LOC100577644","LOC105834474"
"7","4E-T",-0.864253084423719,6.19079630599725,12.734399889435,0.00035899099587309,0.000669991059139293,"EOG090R054M","LOC727230","LOC105828146"
"8","5-HT2A",2.61161128402622,3.91427566595489,59.6850266674124,1.1132027652103e-14,5.86490759176334e-14,"EOG090R04E0","5-HT2alpha","LOC105838203"
"9","5PtaseI",-0.748996232849561,4.36326127582999,3.49078184127796,0.0617114332543855,0.0825136910368497,"EOG090R048C","LOC406096","LOC105837420"
"10","7B2",2.83180634988988,5.94698027333158,140.010485368203,2.6480174106527e-32,4.1307414005299e-31,"EOG090R0BVG","LOC408614","LOC105838638"
"11","Aac11",-0.358146885248902,6.79379776082053,3.53064519550641,0.0602443407823607,0.0806819278407325,"EOG090R04S2","LOC551686","LOC105828736"
"12","aay",0.00305957373029295,6.95185805587035,0.000323649686682081,0.985646618409331,0.991915748844443,"EOG090R0BXX","LOC412674","LOC105830483"
"13","ABCB7",0.647928002220955,6.89917715522973,14.5511273782954,0.000136407008633731,0.000269195221156411,"EOG090R02ZH","LOC412749","LOC105828478"
"14","Abd-B",3.22236280935617,3.56833470880525,59.4152885385259,1.27673333875802e-14,6.69814627407364e-14,"EOG090R09HX","LOC410642","LOC105834511"
"15","Abi",-0.527970556014946,6.35467217269758,6.50962267567147,0.0107292272299816,0.0161676397624273,"EOG090R0776","LOC414015","LOC105838171"
"16","Abl",-1.17644844720969,7.27276750978739,42.9650062391324,5.57278004787601e-11,2.17414761319875e-10,"EOG090R00NY","LOC409127","LOC105833316"
"17","abo",0.132681082301718,4.16198192485312,0.213857532079058,0.643760565453755,0.687560839648884,"EOG090R02EK","LOC551371","LOC105831569"
"18","Abp1",-1.59039904507495,6.22630618958902,37.57679577697,8.78837686905284e-10,3.07593190416849e-09,"EOG090R09UX","LOC409548","LOC105832760"
"19","abs",0.5967476016328,5.03671924875014,5.68973383104077,0.0170644426624506,0.0249924132323403,"EOG090R030J","LOC408524","LOC105828391"
"20","Ac13E",0.997706416964565,5.99104923271822,22.3229814473573,2.30432348275245e-06,5.58596704184738e-06,"EOG090R00CK","LOC552535","LOC105838352"
"21","Ac3",3.06729471651818,3.70076588475834,34.078116495516,5.29433411316359e-09,1.69745649533659e-08,"EOG090R0198","Ac3","LOC105830745"
"22","Ac78C",2.24233146483857,3.89356051530521,47.778216749223,4.77265517582618e-12,2.04442745133801e-11,"EOG090R026C","LOC726262","LOC105831878"
"23","ACC",0.909319708518245,9.72150714970483,23.989861750338,9.6844306028919e-07,2.45947526750641e-06,"EOG090R007J","LOC552286","LOC105832247"
"24","Acf",-2.4389559408913,7.27461468981155,154.923147402922,1.45542039661214e-35,2.80611808770403e-34,"EOG090R01QU","LOC411756","LOC105836135"
"25","acj6",4.53411484613582,2.75884072635984,50.235899024124,1.36330831535233e-12,6.09939734624417e-12,"EOG090R0AYG","LOC410657","LOC105831190"
"26","Ack",0.888763522836383,7.08863314680824,20.946990610331,4.72168976807936e-06,1.10043964480278e-05,"EOG090R02HC","LOC413052","LOC105832564"
