"Gene","pi"
"18-w",0.0122501510638298
"5-HT1",0.0151515166666667
"5-HT2alpha",0.0773036047619048
"5-HT2beta",0.067186108
"5-ht7",0
"A4",0.02886
"Abscam",0.0838142722222222
"Ac3",0.0294372088888889
"AChE-2",0.02886
"Acph-1",0.0165289272727273
"ACSF2",0.161255365625
"Adar",0.0352504285714286
"Adk1",0
"AGLU2",0.03982681
"Akhr",0.00909091
"Amel_8916",0.0224320909090909
"Amih",0.0532800230769231
"Ant",0
"Antp",0.0362269105263158
"Apd-1",0.03636364
"Apd-2",0.04545455
"apd-3",0.0303030333333333
"Apd-3",0.149350525
"Apid1",0.262832142857143
"Apime-ASTA",0.03636364
"Argk",0.0283352727272727
"arm",0.121351680645161
"aub",0.0145148823529412
"B-gluc1",0.0247007647058824
"Blop",0.145330885714286
"Br-c",0
"Brd7",0.04545455
"brp",0.0451453095238095
"Burs",0
"c-mos",0
"C1q-VP",0
"Cac",0.0188620785714286
"cact1",0
"cad",0
"Calpb",0.0534940785714286
"Camkii",0
"Cat",0.034632
"Cbs",0
"Cdc37",0.1233765
"Cdk5",0
"Chmp1",0
"Coq7",0
"Cox6b1",0
"Cox6c",0
"Cpap3-b",0.04329004
"Cpap3-c",0
"Cpap3-d",0.069264
"CPF1",0
"CPF2",0.082251
"CPR1",0
"CPR11",0.0779220333333333
"CPR12",0
"CPR13",0
"CPR14",0
"CPR16",0.0121212133333333
"CPR17",0.0151515166666667
"CPR18",0.0303030333333333
"CPR19",0.076298675
"CPR2",0
"CPR21",0.0202020222222222
"CPR22",0.0989485714285714
"CPR27",0.022727275
"CPR28",0
"CPR3",0
"CPR4",0
"CPR5",0
"CPR6",0.0306122285714286
"crh-BP",0
"Cry2",0.0405352090909091
"Cryl1",0
"Crz",0.082251
"Crzr",0.121588508695652
"Csd",0.176085154054054
"CSP1",0
"CSP2",0.04545455
"CSP3",0
"CSP4",0.021645
"CSP6",0
"CTL5",0
"CUTA",0
"Cyp314a1",0.0612720076923077
"Cyp4g11",0.03463202
"CYP6AQ1",0.096623288
"Cyp6as5",0.0611471375
"Dat",0.123749693103448
"Dcr-1",0
"Def1",0
"Def2",0.04545455
"DHRS4",0
"Dl",0
"Dll",0.0202020222222222
"Dnmt1a",0
"Dnmt3",0.0494071086956522
"Dop1",0.1316016
"Dop3",0.0506747823529412
"DopR2",0.0702260111111111
"Dscam",0.0461929988235294
"Dsx",0
"E74",0
"E75",0.0570299130434783
"Eaat-2",0.0820706916666667
"ecd",0
"Ecr",0.0301484
"Ef-1a-f1",0
"EF1a-F2",0.00699300769230769
"egh",0
"Eif3h",0
"Eif4g",0
"Emc",0.0247371428571429
"EphR",0.03388992
"Err",0.004545455
