"Gene","FN","FS","PN","PS","Trepl","Tsil"
"18-w",1,44,0,2,134279,59032
"5-HT1",0,5,0,1,5011.9998,2242.0002
"5-HT2alpha",5,5,0,11,28587.9993,12614.0007
"5-HT2beta",0,14,0,11,37475,17575
"5-ht7",2,7,0,0,4232.9997,1734.0003
"A4",3,2,1,0,2644.0002,847.9998
"Abscam",1,20,0,15,146364.0012,63155.9988
"Ac3",4,33,1,7,94289.9985,40575.0015
"AChE-2",0,15,0,3,24672.0006,9293.9994
"Acph-1",1,8,1,1,9742.3337,3523.6663
"ACSF2",3,6,6,18,43725,16566
"Adar",0,6,0,1,10166.3331,3777.6669
"Adk1",2,3,0,0,2181.6665,713.3335
"AGLU2",12,4,3,1,26553.334,8786.666
"Akhr",2,7,0,1,7646.667,2853.333
"Amel_8916",3,7,0,1,9885.3337,4007.6663
"Amih",1,7,0,5,22771.6671,8935.3329
"Ant",0,2,0,0,1299.3334,500.6666
"Antp",3,12,0,4,14927.6673,5193.3327
"Apd-1",1,5,1,3,2473.333,1216.667
"Apd-2",0,1,0,1,320,148
"apd-3",0,2,0,1,1665.9999,818.0001
"Apd-3",1,0,0,7,1821.3336,1010.6664
"Apid1",1,0,4,2,2571.3331,977.6669
"Apime-ASTA",2,4,2,2,4243.333,1696.667
"Argk",3,7,0,1,8587.3337,3160.6663
"arm",0,15,0,16,53712.6677,21803.3323
"aub",4,12,0,1,30316.6661,11911.3339
"B-gluc1",5,10,1,1,18337.3339,6091.6661
"Blop",1,2,2,2,5471.6669,1962.3331
"Br-c",0,8,0,0,10397.3336,4050.6664
"Brd7",0,1,0,1,3478,1322
"brp",0,14,1,6,87198.9993,33068.0007
"Burs",0,1,0,0,352.3333,130.6667
"c-mos",4,1,0,0,3553.3335,1201.6665
"C1q-VP",4,3,0,0,2431.3331,991.6669
"Cac",1,11,0,2,61553.3338,22782.6662
"cact1",7,4,0,0,9229,3806
"cad",2,0,0,0,1563.3334,590.6666
"Calpb",1,10,0,3,22582,7700
"Camkii",0,1,0,0,1323.6667,497.3333
"Cat",0,12,0,2,15862,5516
"Cbs",4,3,0,0,7070,2338
"Cdc37",0,1,1,1,2529,810
"Cdk5",0,8,0,0,5197.3336,2002.6664
"Chmp1",0,3,0,0,1322.0001,459.9999
"Coq7",0,1,0,0,437.3333,150.6667
"Cox6b1",2,0,0,0,437.3334,120.6666
"Cox6c",0,1,0,0,164.3333,63.6667
"Cpap3-b",0,14,1,10,16758.3325,5366.6675
"Cpap3-c",0,5,0,0,3030,1020
"Cpap3-d",0,5,0,1,3058.0002,1135.9998
"CPF1",2,3,0,0,1391.6665,633.3335
"CPF2",0,5,0,3,2805.3336,1346.6664
"CPR1",2,8,0,0,4606.667,1903.333
"CPR11",2,5,1,7,5595,1875
"CPR12",0,1,0,0,235,86
"CPR13",2,1,0,0,686.0001,249.9999
"CPR14",0,1,0,0,319,113
"CPR16",6,7,1,1,10414.9995,4345.0005
"CPR17",0,5,0,1,2100,762
"CPR18",0,2,0,1,897.9999,308.0001
"CPR19",1,2,4,1,4101.3336,1538.6664
"CPR2",0,10,0,0,5586.667,2363.333
"CPR21",0,7,0,2,2634.0003,929.9997
"CPR22",0,3,0,4,2090.6669,681.3331
"CPR27",0,6,1,1,4085.3336,1482.6664
"CPR28",1,1,0,0,484,152
"CPR3",1,5,0,0,4104,1620
"CPR4",1,1,0,0,548,196
"CPR5",2,2,0,0,1904,868
"CPR6",1,10,0,3,5954.6662,1983.3338
"crh-BP",2,1,0,0,2201.0001,795.9999
"Cry2",1,6,0,4,13775.6663,5199.3337
"Cryl1",1,8,0,0,6270.0003,2315.9997
"Crz",1,3,2,0,1434,510
"Crzr",5,5,0,13,20255.3341,7620.6659
"Csd",11,2,16,11,33520,12680
"CSP1",1,3,0,0,1100,304
"CSP2",0,2,1,1,990.6668,425.3332
"CSP3",2,1,0,0,888.9999,290.0001
"CSP4",5,2,0,1,2328,768
"CSP6",0,5,0,0,1135,350
"CTL5",0,2,0,0,958.6666,349.3334
"CUTA",1,3,0,0,1182.6668,413.3332
"Cyp314a1",2,18,1,5,28877.3342,11526.6658
"Cyp4g11",1,10,1,3,18415.0005,6829.9995
"CYP6AQ1",9,7,2,7,28541.6675,10083.3325
"Cyp6as5",2,10,3,1,17744,6256
"Dat",0,12,2,15,43345.3343,16684.6657
"Dcr-1",0,2,0,0,8726,2992
"Def1",4,2,0,0,1294.0002,433.9998
"Def2",2,0,1,1,909.3332,350.6668
"DHRS4",2,4,0,0,3534,1380
"Dl",0,4,0,0,7241.3332,2490.6668
"Dll",0,7,0,2,7692.0003,3296.9997
"Dnmt1a",3,8,0,0,27566,8932
"Dnmt3",9,22,3,12,116518,44390
"Dop1",0,2,0,3,3500,1375
"Dop3",3,9,0,5,24491.3339,10494.6661
"DopR2",2,4,0,3,8795.9997,3597.0003
"Dscam",3,62,0,20,401398.3305,153991.6695
"Dsx",0,4,0,0,2889.3332,1154.6668
"E74",0,11,0,0,13471.3337,5800.6663
"E75",0,31,0,15,88979.3318,38532.6682
"Eaat-2",2,12,0,10,28216.0008,10951.9992
"ecd",0,4,0,0,5794.6668,1945.3332
"Ecr",0,24,1,3,38014.6676,14989.3324
"Ef-1a-f1",0,7,0,0,7240.3331,2461.6669
"EF1a-F2",0,12,0,1,13446.3329,4571.6671
"egh",6,7,0,0,12822.3329,4532.6671
"Eif3h",0,2,0,0,1488,528
"Eif4g",2,13,0,0,62205,23880
"Emc",0,6,0,1,1862,847
"EphR",2,28,0,5,80558.3345,30531.6655
"Err",0,19,0,1,19113.334,7406.666
"Est-6",9,8,0,2,25232,8512
"Eth",1,3,3,10,5848,2159
"Ets97D-like",0,8,0,5,12540.6671,4424.3329
"eve",0,8,0,1,7121.9997,2895.0003
"Eyg",1,9,0,6,18805.3328,7786.6672
"Fabp",1,3,0,0,1202.6668,405.3332
"FAR1",1,13,0,1,17170.0005,6094.9995
"Fem",2,5,5,1,10915.6671,4723.3329
"Fibroin1",3,10,1,1,10414.9995,4615.0005
"Fibroin2",2,3,1,3,5985,2385
"Fibroin3",7,12,1,0,13913.334,6246.666
"Fibroin4",1,8,0,0,6491.9997,2769.0003
"For",2,20,0,3,36733.3325,13891.6675
"Foxp",0,1,0,3,6342.6668,2489.3332
"Fstl5",2,21,1,13,77009.3321,28107.6679
"Gat-1B",0,5,0,1,7930.0002,2905.9998
"Gat-a",1,15,1,12,38860,14384
