NP_001014456.1	gnl|BL_ORD_ID|10184 7227:0027c8
NP_001014457.1	gnl|BL_ORD_ID|10114 7227:002782
NP_001007097.1	gnl|BL_ORD_ID|13684 7227:003574
NP_001007096.1	gnl|BL_ORD_ID|13684 7227:003574
NP_001014458.3	gnl|BL_ORD_ID|11431 7227:002ca7
NP_001014460.1	gnl|BL_ORD_ID|13842 7227:003612
NP_001014459.2	gnl|BL_ORD_ID|11420 7227:002c9c
NP_001014461.1	gnl|BL_ORD_ID|4014 7227:000fae
NP_001014462.1	gnl|BL_ORD_ID|1020 7227:0003fc
NP_001014463.2	gnl|BL_ORD_ID|1416 7227:000588
NP_001014464.1	gnl|BL_ORD_ID|215 7227:0000d7
NP_001014465.1	gnl|BL_ORD_ID|10738 7227:0029f2
NP_001014467.1	gnl|BL_ORD_ID|2661 7227:000a65
NP_001014468.1	gnl|BL_ORD_ID|2661 7227:000a65
NP_001014475.1	gnl|BL_ORD_ID|1567 7227:00061f
NP_001014474.3	gnl|BL_ORD_ID|11427 7227:002ca3
NP_001014455.1	gnl|BL_ORD_ID|11424 7227:002ca0
NP_001014454.1	gnl|BL_ORD_ID|11424 7227:002ca0
NP_001014469.1	gnl|BL_ORD_ID|2661 7227:000a65
NP_001014453.1	gnl|BL_ORD_ID|11424 7227:002ca0
NP_001014476.1	gnl|BL_ORD_ID|1567 7227:00061f
NP_001014477.1	gnl|BL_ORD_ID|20 7227:000014
NP_001014480.4	gnl|BL_ORD_ID|12876 7227:00324c
NP_001014482.2	gnl|BL_ORD_ID|1522 7227:0005f2
NP_001014479.1	gnl|BL_ORD_ID|13527 7227:0034d7
NP_001014484.2	gnl|BL_ORD_ID|2743 7227:000ab7
NP_001014478.1	gnl|BL_ORD_ID|13527 7227:0034d7
NP_001014481.1	gnl|BL_ORD_ID|12434 7227:003092
NP_001014488.1	gnl|BL_ORD_ID|11435 7227:002cab
NP_001014489.1	gnl|BL_ORD_ID|11428 7227:002ca4
NP_001014485.3	gnl|BL_ORD_ID|12292 7227:003004
NP_001014490.1	gnl|BL_ORD_ID|11429 7227:002ca5
NP_001014492.2	gnl|BL_ORD_ID|11416 7227:002c98
NP_001014494.1	gnl|BL_ORD_ID|11414 7227:002c96
NP_001014493.2	gnl|BL_ORD_ID|11415 7227:002c97
NP_001014491.1	gnl|BL_ORD_ID|534 7227:000216
NP_001014495.1	gnl|BL_ORD_ID|11413 7227:002c95
NP_001014496.1	gnl|BL_ORD_ID|1921 7227:000781
NP_001014497.1	gnl|BL_ORD_ID|5013 7227:001395
NP_001014487.1	gnl|BL_ORD_ID|966 7227:0003c6
NP_001014501.1	gnl|BL_ORD_ID|5124 7227:001404
NP_001014486.1	gnl|BL_ORD_ID|966 7227:0003c6
NP_001014498.1	gnl|BL_ORD_ID|5025 7227:0013a1
NP_001014502.1	gnl|BL_ORD_ID|12701 7227:00319d
NP_001014505.1	gnl|BL_ORD_ID|5183 7227:00143f
NP_001014506.1	gnl|BL_ORD_ID|5183 7227:00143f
NP_001014504.1	gnl|BL_ORD_ID|10401 7227:0028a1
NP_001014507.1	gnl|BL_ORD_ID|13234 7227:0033b2
NP_001014508.1	gnl|BL_ORD_ID|13234 7227:0033b2
NP_001014509.1	gnl|BL_ORD_ID|13234 7227:0033b2
NP_001014510.1	gnl|BL_ORD_ID|13234 7227:0033b2
NP_001014511.1	gnl|BL_ORD_ID|13234 7227:0033b2
NP_001014513.1	gnl|BL_ORD_ID|12141 7227:002f6d
NP_001014512.1	gnl|BL_ORD_ID|13234 7227:0033b2
NP_001014515.1	gnl|BL_ORD_ID|904 7227:000388
NP_001014514.1	gnl|BL_ORD_ID|999 7227:0003e7
NP_001014516.1	gnl|BL_ORD_ID|904 7227:000388
NP_001014503.1	gnl|BL_ORD_ID|1728 7227:0006c0
NP_001014521.2	gnl|BL_ORD_ID|10272 7227:002820
NP_001014522.2	gnl|BL_ORD_ID|429 7227:0001ad
NP_001014523.1	gnl|BL_ORD_ID|1350 7227:000546
NP_001014524.1	gnl|BL_ORD_ID|12610 7227:003142
NP_001014525.1	gnl|BL_ORD_ID|12610 7227:003142
NP_001014526.1	gnl|BL_ORD_ID|12610 7227:003142
NP_001014528.1	gnl|BL_ORD_ID|11412 7227:002c94
NP_001014518.1	gnl|BL_ORD_ID|13222 7227:0033a6
NP_001014519.1	gnl|BL_ORD_ID|13222 7227:0033a6
NP_001014529.1	gnl|BL_ORD_ID|11411 7227:002c93
NP_001014530.1	gnl|BL_ORD_ID|12685 7227:00318d
NP_001014532.1	gnl|BL_ORD_ID|11426 7227:002ca2
NP_001014531.1	gnl|BL_ORD_ID|12686 7227:00318e
NP_001014533.1	gnl|BL_ORD_ID|11432 7227:002ca8
NP_001014534.1	gnl|BL_ORD_ID|5920 7227:001720
NP_001014535.1	gnl|BL_ORD_ID|5921 7227:001721
NP_001014538.1	gnl|BL_ORD_ID|5924 7227:001724
NP_001014500.2	gnl|BL_ORD_ID|11439 7227:002caf
NP_001014520.2	gnl|BL_ORD_ID|13222 7227:0033a6
NP_001014540.2	gnl|BL_ORD_ID|12594 7227:003132
NP_001014537.1	gnl|BL_ORD_ID|187 7227:0000bb
NP_001014542.1	gnl|BL_ORD_ID|12594 7227:003132
NP_001014536.1	gnl|BL_ORD_ID|187 7227:0000bb
NP_001014548.1	gnl|BL_ORD_ID|6306 7227:0018a2
NP_001014547.1	gnl|BL_ORD_ID|12401 7227:003071
