Gene	dN_dS
LOC105837455	0.0821
LOC105834095	0.0589
LOC105833385	0.1410
LOC105840750	0.1184
LOC105829148	0.2140
LOC105839032	0.0445
LOC105833331	0.0918
LOC105835859	0.1309
LOC105833329	0.1481
LOC105833137	0.0451
LOC105838886	0.0819
LOC105835132	0.0522
LOC105837702	0.1283
LOC105836587	0.0446
LOC105839778	0.0369
LOC105833541	0.1709
LOC105837125	0.1028
LOC105836513	0.1091
LOC105834767	0.0855
LOC105838146	0.3055
LOC105832786	0.0573
LOC105837746	0.2287
LOC105837158	0.1379
LOC105836357	0.2310
LOC105831104	0.1143
LOC105830494	0.0576
LOC105840013	0.2534
LOC105828944	0.0369
LOC105838625	0.0602
LOC105830456	0.2347
LOC105829490	0.1033
LOC105831026	0.0555
LOC105834267	0.2203
LOC105835901	0.0911
LOC105829416	0.0919
LOC105829368	0.2753
LOC105835109	0.1440
LOC105831017	0.0416
LOC105839314	0.0222
LOC105836017	0.2206
LOC105834610	0.1135
LOC105839701	0.4734
LOC105836611	0.0790
LOC105834791	0.0454
LOC105837307	0.1646
LOC105834087	0.0742
LOC105829902	0.1701
LOC105835203	0.0638
LOC105832108	0.0326
LOC105835213	0.1084
LOC105829523	0.2677
LOC105832678	0.1741
LOC105831157	0.0260
LOC105832885	0.0414
LOC105839459	0.0386
LOC105831658	0.2279
LOC105836303	0.1831
LOC105831938	0.0375
LOC105837544	0.1098
LOC105829115	0.1936
LOC105830504	0.0483
LOC105840079	0.0168
LOC105833031	0.0397
LOC105829762	0.1775
LOC105839475	0.0923
LOC105828372	0.1347
LOC105838275	0.2267
LOC105835591	0.1916
LOC105830793	0.1479
LOC105837191	0.0342
LOC105835398	0.0073
LOC105832247	0.0568
LOC105837247	0.1004
LOC105836382	0.1408
LOC105836051	0.1473
LOC105840134	0.1613
LOC105833506	0.0535
LOC105833088	0.2136
LOC105832748	0.2922
LOC105831353	0.0542
LOC105831012	0.2655
LOC105829236	0.0300
LOC105831629	0.0783
LOC105831951	0.0141
LOC105829440	0.1360
LOC105828128	0.2250
LOC105830258	0.1233
LOC105833920	0.1552
LOC105832237	0.1377
LOC105838816	0.1146
LOC105838854	0.0627
LOC105836689	0.0475
LOC105840453	0.0576
LOC105838501	0.0864
LOC105828884	0.0342
LOC105836871	0.0526
LOC105836985	0.1572
LOC105835347	0.0787
LOC105839332	0.0725
LOC105836003	0.0595
LOC105835380	0.0359
LOC105836366	0.0538
LOC105840225	0.2894
LOC105834798	0.2075
LOC105836750	0.0678
LOC105837401	0.2820
LOC105830881	0.1448
LOC105838418	0.0749
LOC105839645	0.1619
LOC105832644	0.0957
LOC105828474	0.2985
LOC105832202	0.0341
LOC105835461	0.0265
LOC105839753	0.1632
LOC105828326	0.0670
LOC105834239	0.1039
LOC105834950	0.0332
LOC105832914	0.0534
LOC105830687	0.0971
LOC105839074	0.1005
LOC105830509	0.0883
LOC105833947	0.1651
LOC105836522	0.2786
LOC105836836	0.0667
LOC105834363	0.0938
LOC105830667	0.1014
LOC105828193	0.0788
LOC105838345	0.0271
LOC105834114	0.2081
LOC105840430	0.3185
LOC105828849	0.2325
LOC105838889	0.1149
LOC105832282	0.1775
LOC105835798	0.3683
LOC105829467	0.0658
LOC105834222	0.1544
LOC105835464	0.0408
LOC105831956	0.1101
LOC105831838	0.0445
LOC105828761	0.2659
LOC105830850	0.1211
LOC105839549	0.0921
LOC105828818	0.2639
LOC105835439	0.1103
LOC105829276	0.1430
LOC105832720	0.2713
LOC105832858	0.6249
LOC105836239	0.0643
LOC105839196	0.0982
LOC105838054	0.4180
LOC105834658	0.1301
LOC105832116	0.0495
LOC105832890	0.1041
LOC105839989	0.1775
LOC105833751	0.1570
LOC105836338	0.0521
LOC105831558	0.0082
LOC105836957	0.0530
LOC105839033	0.0528
LOC105829600	0.1362
LOC105829672	0.2230
LOC105832927	0.2482
LOC105833601	0.1261
LOC105829269	0.0589
LOC105836216	0.1368
LOC105829544	0.0965
LOC105840996	0.0668
LOC105833272	0.0448
LOC105829734	0.0841
LOC105839562	0.3205
LOC105832635	0.2128
LOC105839429	0.1182
LOC105830369	0.0128
LOC105836804	0.1538
LOC105829427	0.3454
LOC105830058	0.1013
LOC105835569	0.1095
LOC105832112	0.2993
LOC105832017	0.1300
LOC105835110	0.1474
LOC105835414	0.1202
LOC105834813	0.2316
LOC105837864	0.0357
LOC105828602	0.0292
LOC105840034	0.2500
LOC105834483	0.1381
LOC105835952	0.0900
LOC105837910	0.0651
LOC105836240	0.1518
LOC105833822	0.0973
LOC105840448	0.4081
LOC105829559	0.1287
LOC105830638	0.1484
LOC105834538	0.0487
LOC105827888	0.2043
LOC105840814	0.0441
LOC105837072	0.0661
LOC105831366	0.1696
LOC105833342	0.1037
LOC105840101	0.0875
LOC105831361	0.5792
LOC105834348	0.0391
LOC105828129	0.5245
LOC105836406	0.0856
LOC105830077	0.3156
LOC105839426	0.0219
LOC105840433	0.0956
LOC105837114	0.1522
LOC105837835	0.0888
LOC105839571	0.2010
LOC105831266	0.1608
LOC105828242	0.2479
LOC105837195	0.1486
LOC105830331	0.0564
LOC105829020	0.2722
LOC105832853	0.1608
LOC105830562	0.1738
LOC105833981	0.0769
LOC105827856	0.2618
LOC105838546	0.5393
LOC105829137	0.1645
LOC105828169	0.0923
LOC105838608	0.1602
LOC105838467	0.0907
LOC105836413	0.2579
LOC105837442	0.0890
LOC105836762	0.1148
LOC105831389	0.1400
LOC105838424	0.1260
LOC105834080	0.0588
LOC105835138	0.0533
LOC105839483	0.1788
LOC105839028	0.0347
LOC105834190	0.2241
LOC105840021	0.3039
LOC105832467	0.0548
LOC105834533	0.0660
LOC105833549	0.0341
LOC105836060	0.3562
LOC105829080	0.0918
LOC105839104	0.1300
LOC105841124	0.0546
LOC105829592	0.1267
LOC105834370	0.1211
LOC105833654	0.0564
LOC105832738	0.1281
LOC105834585	0.0869
LOC105835112	0.2473
LOC105835445	0.0450
LOC105840095	0.1028
LOC105837218	0.1010
LOC105838920	0.0898
LOC105835727	0.2037
LOC105839030	0.1101
LOC105828403	0.2516
LOC105837440	0.2354
LOC105840588	0.1248
LOC105831514	0.0593
LOC105837787	0.1675
LOC105829397	0.2944
LOC105836922	0.0431
LOC105837723	0.0570
LOC105839500	0.1518
LOC105832740	0.2280
LOC105835962	0.2241
LOC105832564	0.2162
LOC105833073	0.1890
LOC105834909	0.1547
LOC105839595	0.2970
LOC105838352	0.1260
LOC105828354	0.2704
LOC105837960	0.2901
LOC105832861	0.0734
LOC105835020	0.0580
LOC105837421	0.1440
LOC105839882	0.0685
LOC105839743	0.0517
LOC105837930	0.1531
LOC105830775	0.0149
LOC105834166	0.1192
LOC105838988	0.1425
LOC105827769	0.0449
LOC105833451	0.0875
LOC105832982	0.0871
LOC105829959	0.3210
LOC105827813	0.1182
LOC105832540	0.1280
LOC105836508	0.2199
LOC105829124	0.1071
LOC105839125	0.0736
LOC105829468	0.0536
LOC105827853	0.2284
LOC105837263	0.0523
LOC105838861	0.1327
LOC105836055	0.3300
LOC105831337	0.2448
LOC105833279	0.0425
LOC105838921	0.3647
LOC105829750	0.0064
LOC105839561	0.0659
LOC105831656	0.1437
LOC105836093	0.0971
LOC105829335	0.1963
LOC105834570	0.1091
LOC105837007	0.0490
LOC105839673	0.0414
LOC105835558	0.0939
LOC105838379	0.1210
LOC105839067	0.0694
LOC105830203	0.0772
LOC105828982	0.0518
LOC105830206	0.2285
LOC105840023	0.1586
LOC105835896	0.1130
LOC105841148	0.1183
LOC105833443	0.1581
LOC105831159	0.0956
LOC105830259	0.0681
LOC105833058	0.1545
LOC105831295	0.1234
LOC105837445	0.1761
LOC105828601	0.1356
LOC105839736	0.3282
LOC105831878	0.0910
LOC105837719	0.1716
LOC105837128	0.1626
LOC105836219	0.0505
LOC105840442	0.0783
LOC105832503	0.1480
LOC105831628	0.0747
LOC105839156	0.0781
LOC105828504	0.3376
LOC105833225	0.1274
LOC105831729	0.0299
LOC105834055	0.2512
LOC105831839	0.1745
LOC105830537	0.1341
LOC105833648	0.1490
LOC105832358	0.0495
LOC105829127	0.0619
LOC105834630	0.3525
LOC105829029	0.0455
LOC105836731	0.0432
LOC105836128	0.1674
LOC105837289	0.1772
LOC105838396	0.2429
LOC105829284	0.1762
LOC105829433	0.1624
LOC105829334	0.0928
LOC105828561	0.1812
LOC105831670	0.2305
LOC105831960	0.0795
LOC105833017	0.2951
LOC105833682	0.1508
LOC105839380	0.1665
LOC105830037	0.1173
LOC105827762	0.0528
LOC105831203	0.0165
LOC105830770	0.1196
LOC105835405	0.1496
LOC105828844	0.1540
LOC105830741	0.0955
LOC105838871	0.1555
LOC105835028	0.3853
LOC105831169	0.0683
LOC105834044	0.2439
LOC105840689	0.1900
LOC105829471	0.0277
LOC105832695	0.2284
LOC105836568	0.2883
LOC105837617	0.0314
LOC105837175	0.1865
LOC105829297	0.1804
LOC105834003	0.0423
LOC105841060	0.1597
LOC105831771	0.1553
LOC105839634	0.1387
LOC105837892	0.0778
LOC105829528	0.0276
LOC105829404	0.0697
LOC105840794	0.0356
LOC105837829	0.0991
LOC105833054	0.0762
LOC105832753	0.0987
LOC105837332	0.1461
LOC105828255	0.0298
LOC105829547	0.3529
LOC105834573	0.1648
LOC105829398	0.2973
LOC105828597	0.1158
LOC105832677	0.0957
LOC105832428	0.2100
LOC105832356	0.1483
LOC105828783	0.1078
LOC105839007	0.1496
LOC105830801	0.0755
LOC105834414	0.1425
LOC105837722	0.2812
LOC105837431	0.1884
LOC105833382	0.1926
LOC105834649	0.0213
LOC105838502	0.1548
LOC105834665	0.0747
LOC105836135	0.1202
LOC105834472	0.2542
LOC105832278	0.1859
LOC105832441	0.1512
LOC105830961	0.0991
LOC105831484	0.0545
LOC105829289	0.0404
LOC105831297	0.1980
LOC105838987	0.2765
LOC105839711	0.0957
LOC105837416	0.0816
LOC105834633	0.4308
LOC105835076	0.0880
LOC105833692	0.0614
LOC105839415	0.0446
LOC105835937	0.1427
LOC105833819	0.1651
LOC105833234	0.0642
LOC105841093	0.0641
LOC105829460	0.1394
LOC105840707	0.1641
LOC105833389	0.0822
LOC105834082	0.1221
LOC105833048	0.2063
LOC105834695	0.0941
LOC105841062	0.1937
LOC105832868	0.1273
LOC105831755	0.0934
LOC105835715	0.3104
LOC105831896	0.1540
LOC105831941	0.1885
LOC105840764	0.0878
LOC105840702	0.1298
LOC105833665	0.0758
LOC105838589	0.0439
LOC105832072	0.2716
LOC105837616	0.3680
LOC105836307	0.0372
LOC105827804	0.1203
LOC105837634	0.0310
LOC105837794	0.0200
LOC105832113	0.0256
LOC105838932	0.0797
LOC105829311	0.2206
LOC105839860	0.1775
LOC105828293	0.0890
LOC105838931	0.0523
LOC105840272	0.1023
LOC105838488	0.0717
LOC105836658	0.4060
LOC105836629	0.1767
LOC105837153	0.1055
LOC105829748	0.0795
LOC105834831	0.1052
LOC105831887	0.0845
LOC105833930	0.1912
LOC105832222	0.2286
LOC105836700	0.1319
LOC105833885	0.0748
LOC105837390	0.2398
LOC105830415	0.1749
LOC105838432	0.1051
LOC105837563	0.2202
LOC105840443	0.0391
LOC105837318	0.0334
LOC105832701	0.1452
LOC105831636	0.0140
LOC105832908	0.0211
LOC105836874	0.1039
LOC105837206	0.1239
LOC105833761	0.0730
LOC105839373	0.1796
LOC105835939	0.2810
LOC105832150	0.1766
LOC105832264	0.1763
LOC105835288	0.4252
LOC105829483	0.0840
LOC105839563	0.0566
LOC105831633	0.2608
LOC105839377	0.0502
LOC105833080	0.1715
LOC105838951	0.1051
LOC105830657	0.0853
LOC105835121	0.0142
LOC105828598	0.2179
LOC105834007	0.0516
LOC105839085	0.1744
LOC105830857	0.1621
LOC105834620	0.1232
LOC105835615	0.2896
LOC105828749	0.0241
LOC105830583	0.4848
LOC105835495	0.0954
LOC105836714	0.1997
LOC105829189	0.3386
LOC105840808	0.1713
LOC105835106	0.0367
LOC105831497	0.3586
LOC105832155	0.2026
LOC105828203	0.0985
LOC105835892	0.0958
LOC105841099	0.0357
LOC105833387	0.0034
LOC105830296	0.0593
LOC105836414	0.3441
LOC105828643	0.0326
LOC105830930	0.2024
LOC105837009	0.1190
LOC105838034	0.1486
LOC105838401	0.2300
LOC105833256	0.0565
LOC105838640	0.1110
LOC105832605	0.1946
LOC105838162	0.0629
LOC105832524	0.0385
LOC105830762	0.2557
LOC105835656	0.1949
LOC105839608	0.0459
LOC105831910	0.0398
LOC105828747	0.3630
LOC105839696	0.0125
LOC105835459	0.0882
LOC105838955	0.0733
LOC105840112	0.1186
LOC105832790	0.1827
LOC105830581	0.3747
LOC105839254	0.0790
LOC105835524	0.2317
LOC105834025	0.1723
LOC105829511	0.2688
LOC105837973	0.1600
LOC105836286	0.1269
LOC105834917	0.1371
LOC105831272	0.1411
LOC105837599	0.1875
LOC105839872	0.1783
LOC105840080	0.2062
LOC105827884	0.1561
LOC105834762	0.1935
LOC105833993	0.0587
LOC105830240	0.0790
LOC105831733	0.2930
LOC105839180	0.2640
LOC105829630	0.2592
LOC105839888	0.1963
LOC105836114	0.1908
LOC105830457	0.0625
LOC105838519	0.3017
LOC105832696	0.1130
LOC105832198	0.1650
LOC105839127	0.1200
LOC105839749	0.2248
LOC105830751	0.0789
LOC105830371	0.3505
LOC105832341	0.3301
LOC105838318	0.2421
LOC105837576	0.2857
LOC105838487	0.0895
LOC105838422	0.1262
LOC105832103	0.1098
LOC105836825	0.0566
LOC105831673	0.1012
LOC105838470	0.1585
LOC105828146	0.0948
LOC105838911	0.1233
LOC105828604	0.0571
LOC105835345	0.0123
LOC105834206	0.2275
LOC105832395	0.0435
LOC105832769	0.1489
LOC105833026	0.1675
LOC105833491	0.2067
LOC105839363	0.1431
LOC105834568	0.1589
LOC105835454	0.1398
LOC105829032	0.2086
LOC105836576	0.1768
LOC105838699	0.1666
LOC105839901	0.1861
LOC105832970	0.1222
LOC105831777	0.2249
LOC105840382	0.0421
LOC105831818	0.0800
LOC105831889	0.0769
LOC105832240	0.2011
LOC105832231	0.0793
LOC105831018	0.0825
LOC105830207	0.0529
LOC105831108	0.0632
LOC105839044	0.1358
LOC105837074	0.1400
LOC105835289	0.1355
LOC105830540	0.2801
LOC105834388	0.0790
LOC105833314	0.0439
LOC105829558	0.1716
LOC105831847	0.0861
LOC105836048	0.2589
LOC105835874	0.0575
LOC105834240	0.1396
LOC105838785	0.1560
LOC105835085	0.0474
LOC105833671	0.1192
LOC105833146	0.0884
LOC105836069	0.0267
LOC105834440	0.1230
LOC105836897	0.0941
LOC105839495	0.1016
LOC105841111	0.2323
LOC105833571	0.0217
LOC105829177	0.0943
LOC105840556	0.1049
LOC105839388	0.1862
LOC105830169	0.0613
LOC105835550	0.2196
LOC105838572	0.0733
LOC105840602	0.1381
LOC105831411	0.0939
LOC105839987	0.0960
LOC105839399	0.0955
LOC105831273	0.0888
LOC105840600	0.1176
LOC105828473	0.1660
LOC105833697	0.0693
LOC105830310	0.2463
LOC105833936	0.0127
LOC105833907	0.0912
LOC105839052	0.0330
LOC105834789	0.3496
LOC105839020	0.0899
LOC105838364	0.0210
LOC105836701	0.1476
LOC105829003	0.2365
LOC105840044	0.0786
LOC105837748	0.3633
LOC105840124	0.1103
LOC105838781	0.0666
LOC105832079	0.1758
LOC105839225	0.1119
LOC105838737	0.1417
LOC105831905	0.1427
LOC105833310	0.1830
LOC105835636	0.0485
LOC105837149	0.1402
LOC105836960	0.2961
LOC105828771	0.2139
LOC105832630	0.0498
LOC105837288	0.0312
LOC105830011	0.1489
LOC105832924	0.1490
LOC105830432	0.0983
LOC105838726	0.0721
LOC105836056	0.0919
LOC105838172	0.0812
LOC105839782	0.0795
LOC105830978	0.1784
LOC105839585	0.0388
LOC105836602	0.2677
LOC105839824	0.0867
LOC105832020	0.2053
LOC105835537	0.3871
LOC105834423	0.0867
LOC105839884	0.3171
LOC105830673	0.0854
LOC105833236	0.1507
LOC105837370	0.0665
LOC105833432	0.1377
LOC105835886	0.0908
LOC105835531	0.1416
LOC105838551	0.0793
LOC105830272	0.1015
LOC105830430	0.0894
LOC105836391	0.1138
LOC105830264	0.0669
LOC105836949	0.0509
LOC105831192	0.1703
LOC105835854	0.2116
LOC105830587	0.2084
LOC105831234	0.1030
LOC105839229	0.2797
LOC105837498	0.1073
LOC105832851	0.0125
LOC105836810	0.0845
LOC105829192	0.1801
LOC105836455	0.0731
LOC105838550	0.0971
LOC105834480	0.0483
LOC105839236	0.1053
LOC105837526	0.0652
LOC105829583	0.0813
LOC105828305	0.2521
LOC105835470	0.0596
LOC105836143	0.1385
LOC105834781	0.0481
LOC105838621	0.3695
LOC105838301	0.1308
LOC105832305	0.0533
LOC105831287	0.0700
LOC105830407	0.1579
LOC105837257	0.1553
LOC105833057	0.0302
LOC105829393	0.0509
LOC105840115	0.0483
LOC105840135	0.0758
LOC105829524	0.0498
LOC105831875	0.1079
LOC105835574	0.0252
LOC105833447	0.0256
LOC105828828	0.0403
LOC105833642	0.2460
LOC105831645	0.1465
LOC105837953	0.0476
LOC105834872	0.1729
LOC105835224	0.1784
LOC105830010	0.0593
LOC105833811	0.2017
LOC105839638	0.0494
LOC105835682	0.1420
LOC105828915	0.1063
LOC105838076	0.0719
LOC105837315	0.2754
LOC105832820	0.1546
LOC105830599	0.0163
LOC105832848	0.1654
LOC105833897	0.0858
LOC105836614	0.1669
LOC105837961	0.1191
LOC105832893	0.1097
LOC105838000	0.0491
LOC105836152	0.0434
LOC105833121	0.2268
LOC105833884	0.1192
LOC105830745	0.0872
LOC105839564	0.2100
LOC105835543	0.0560
LOC105834747	0.1575
LOC105836735	0.0716
LOC105831182	0.0348
LOC105828365	0.1033
LOC105832057	0.0683
LOC105834947	0.1043
LOC105834735	0.1289
LOC105838852	0.0544
LOC105836389	0.0193
LOC105833809	0.0466
LOC105828753	0.1084
LOC105837272	0.1855
LOC105831054	0.0113
LOC105836527	0.0893
LOC105840685	0.5075
LOC105830538	0.1176
LOC105837249	0.1169
LOC105836035	0.1432
LOC105828624	0.0698
LOC105834838	0.1056
LOC105833113	0.1174
LOC105830396	0.1445
LOC105834455	0.2019
LOC105836543	0.1624
LOC105837880	0.1103
LOC105833351	0.0996
LOC105837473	0.0480
LOC105836941	0.1001
LOC105829021	0.0375
LOC105836651	0.1512
LOC105835198	0.0373
LOC105836419	0.2549
LOC105837658	0.1259
LOC105841126	0.0393
LOC105831984	0.2147
LOC105834866	0.0309
LOC105836681	0.0763
LOC105837587	0.1799
LOC105840168	0.0868
LOC105837391	0.0757
LOC105835622	0.1176
LOC105830262	0.1563
LOC105832302	0.0519
LOC105827753	0.0716
LOC105828581	0.0337
LOC105832281	0.1606
LOC105827896	0.1068
LOC105840816	0.4219
LOC105835233	0.0204
LOC105840184	0.0634
LOC105835235	0.0919
LOC105830139	0.3066
LOC105836952	0.2139
LOC105829089	0.2692
LOC105839762	0.2371
LOC105831982	0.1360
LOC105839370	0.1337
LOC105832429	0.0590
LOC105839900	0.1442
LOC105839626	0.0880
LOC105840213	0.5499
LOC105828821	0.0262
LOC105832357	0.1079
LOC105829316	0.0095
LOC105834302	0.0875
LOC105835125	0.0270
LOC105838025	0.0513
LOC105836858	0.0699
LOC105836726	0.0873
LOC105834155	0.0678
LOC105835770	0.3464
LOC105830516	0.2129
LOC105839617	0.1661
